kx	ky	energy
-3.141593	-3.141593	9.430725
-3.141593	-3.092505	9.428316
-3.141593	-3.043418	9.421095
-3.141593	-2.994330	9.409078
-3.141593	-2.945243	9.392296
-3.141593	-2.896156	9.370788
-3.141593	-2.847068	9.344606
-3.141593	-2.797981	9.313813
-3.141593	-2.748894	9.278484
-3.141593	-2.699806	9.238704
-3.141593	-2.650719	9.194568
-3.141593	-2.601631	9.146182
-3.141593	-2.552544	9.093664
-3.141593	-2.503457	9.037140
-3.141593	-2.454369	8.976746
-3.141593	-2.405282	8.912627
-3.141593	-2.356194	8.844939
-3.141593	-2.307107	8.773843
-3.141593	-2.258020	8.699512
-3.141593	-2.208932	8.622124
-3.141593	-2.159845	8.541866
-3.141593	-2.110758	8.458931
-3.141593	-2.061670	8.373519
-3.141593	-2.012583	8.285835
-3.141593	-1.963495	8.196092
-3.141593	-1.914408	8.104505
-3.141593	-1.865321	8.011294
-3.141593	-1.816233	7.916685
-3.141593	-1.767146	7.820906
-3.141593	-1.718058	7.724186
-3.141593	-1.668971	7.626759
-3.141593	-1.619884	7.528860
-3.141593	-1.570796	7.430725
-3.141593	-1.521709	7.332590
-3.141593	-1.472622	7.234691
-3.141593	-1.423534	7.137264
-3.141593	-1.374447	7.040544
-3.141593	-1.325359	6.944765
-3.141593	-1.276272	6.850156
-3.141593	-1.227185	6.756945
-3.141593	-1.178097	6.665358
-3.141593	-1.129010	6.575615
-3.141593	-1.079922	6.487932
-3.141593	-1.030835	6.402520
-3.141593	-0.981748	6.319585
-3.141593	-0.932660	6.239326
-3.141593	-0.883573	6.161939
-3.141593	-0.834486	6.087607
-3.141593	-0.785398	6.016512
-3.141593	-0.736311	5.948823
-3.141593	-0.687223	5.884704
-3.141593	-0.638136	5.824310
-3.141593	-0.589049	5.767786
-3.141593	-0.539961	5.715268
-3.141593	-0.490874	5.666883
-3.141593	-0.441786	5.622747
-3.141593	-0.392699	5.582966
-3.141593	-0.343612	5.547637
-3.141593	-0.294524	5.516844
-3.141593	-0.245437	5.490663
-3.141593	-0.196350	5.469155
-3.141593	-0.147262	5.452372
-3.141593	-0.098175	5.440356
-3.141593	-0.049087	5.433134
-3.141593	0.000000	5.430725
-3.141593	0.049087	5.433134
-3.141593	0.098175	5.440356
-3.141593	0.147262	5.452372
-3.141593	0.196350	5.469155
-3.141593	0.245437	5.490663
-3.141593	0.294524	5.516844
-3.141593	0.343612	5.547637
-3.141593	0.392699	5.582966
-3.141593	0.441786	5.622747
-3.141593	0.490874	5.666883
-3.141593	0.539961	5.715268
-3.141593	0.589049	5.767786
-3.141593	0.638136	5.824310
-3.141593	0.687223	5.884704
-3.141593	0.736311	5.948823
-3.141593	0.785398	6.016512
-3.141593	0.834486	6.087607
-3.141593	0.883573	6.161939
-3.141593	0.932660	6.239326
-3.141593	0.981748	6.319585
-3.141593	1.030835	6.402520
-3.141593	1.079922	6.487932
-3.141593	1.129010	6.575615
-3.141593	1.178097	6.665358
-3.141593	1.227185	6.756945
-3.141593	1.276272	6.850156
-3.141593	1.325359	6.944765
-3.141593	1.374447	7.040544
-3.141593	1.423534	7.137264
-3.141593	1.472622	7.234691
-3.141593	1.521709	7.332590
-3.141593	1.570796	7.430725
-3.141593	1.619884	7.528860
-3.141593	1.668971	7.626759
-3.141593	1.718058	7.724186
-3.141593	1.767146	7.820906
-3.141593	1.816233	7.916685
-3.141593	1.865321	8.011294
-3.141593	1.914408	8.104505
-3.141593	1.963495	8.196092
-3.141593	2.012583	8.285835
-3.141593	2.061670	8.373519
-3.141593	2.110758	8.458931
-3.141593	2.159845	8.541866
-3.141593	2.208932	8.622124
-3.141593	2.258020	8.699512
-3.141593	2.307107	8.773843
-3.141593	2.356194	8.844939
-3.141593	2.405282	8.912627
-3.141593	2.454369	8.976746
-3.141593	2.503457	9.037140
-3.141593	2.552544	9.093664
-3.141593	2.601631	9.146182
-3.141593	2.650719	9.194568
-3.141593	2.699806	9.238704
-3.141593	2.748894	9.278484
-3.141593	2.797981	9.313813
-3.141593	2.847068	9.344606
-3.141593	2.896156	9.370788
-3.141593	2.945243	9.392296
-3.141593	2.994330	9.409078
-3.141593	3.043418	9.421095
-3.141593	3.092505	9.428316
-3.092505	-3.141593	9.428316
-3.092505	-3.092505	9.425907
-3.092505	-3.043418	9.418685
-3.092505	-2.994330	9.406669
-3.092505	-2.945243	9.389887
-3.092505	-2.896156	9.368379
-3.092505	-2.847068	9.342197
-3.092505	-2.797981	9.311404
-3.092505	-2.748894	9.276075
-3.092505	-2.699806	9.236295
-3.092505	-2.650719	9.192159
-3.092505	-2.601631	9.143773
-3.092505	-2.552544	9.091255
-3.092505	-2.503457	9.034731
-3.092505	-2.454369	8.974337
-3.092505	-2.405282	8.910218
-3.092505	-2.356194	8.842530
-3.092505	-2.307107	8.771434
-3.092505	-2.258020	8.697103
-3.092505	-2.208932	8.619715
-3.092505	-2.159845	8.539456
-3.092505	-2.110758	8.456521
-3.092505	-2.061670	8.371109
-3.092505	-2.012583	8.283426
-3.092505	-1.963495	8.193683
-3.092505	-1.914408	8.102096
-3.092505	-1.865321	8.008885
-3.092505	-1.816233	7.914276
-3.092505	-1.767146	7.818497
-3.092505	-1.718058	7.721777
-3.092505	-1.668971	7.624350
-3.092505	-1.619884	7.526451
-3.092505	-1.570796	7.428316
-3.092505	-1.521709	7.330181
-3.092505	-1.472622	7.232282
-3.092505	-1.423534	7.134855
-3.092505	-1.374447	7.038135
-3.092505	-1.325359	6.942356
-3.092505	-1.276272	6.847747
-3.092505	-1.227185	6.754536
-3.092505	-1.178097	6.662949
-3.092505	-1.129010	6.573206
-3.092505	-1.079922	6.485523
-3.092505	-1.030835	6.400111
-3.092505	-0.981748	6.317176
-3.092505	-0.932660	6.236917
-3.092505	-0.883573	6.159529
-3.092505	-0.834486	6.085198
-3.092505	-0.785398	6.014102
-3.092505	-0.736311	5.946414
-3.092505	-0.687223	5.882295
-3.092505	-0.638136	5.821901
-3.092505	-0.589049	5.765377
-3.092505	-0.539961	5.712859
-3.092505	-0.490874	5.664473
-3.092505	-0.441786	5.620337
-3.092505	-0.392699	5.580557
-3.092505	-0.343612	5.545228
-3.092505	-0.294524	5.514435
-3.092505	-0.245437	5.488254
-3.092505	-0.196350	5.466745
-3.092505	-0.147262	5.449963
-3.092505	-0.098175	5.437947
-3.092505	-0.049087	5.430725
-3.092505	0.000000	5.428316
-3.092505	0.049087	5.430725
-3.092505	0.098175	5.437947
-3.092505	0.147262	5.449963
-3.092505	0.196350	5.466745
-3.092505	0.245437	5.488254
-3.092505	0.294524	5.514435
-3.092505	0.343612	5.545228
-3.092505	0.392699	5.580557
-3.092505	0.441786	5.620337
-3.092505	0.490874	5.664473
-3.092505	0.539961	5.712859
-3.092505	0.589049	5.765377
-3.092505	0.638136	5.821901
-3.092505	0.687223	5.882295
-3.092505	0.736311	5.946414
-3.092505	0.785398	6.014102
-3.092505	0.834486	6.085198
-3.092505	0.883573	6.159529
-3.092505	0.932660	6.236917
-3.092505	0.981748	6.317176
-3.092505	1.030835	6.400111
-3.092505	1.079922	6.485523
-3.092505	1.129010	6.573206
-3.092505	1.178097	6.662949
-3.092505	1.227185	6.754536
-3.092505	1.276272	6.847747
-3.092505	1.325359	6.942356
-3.092505	1.374447	7.038135
-3.092505	1.423534	7.134855
-3.092505	1.472622	7.232282
-3.092505	1.521709	7.330181
-3.092505	1.570796	7.428316
-3.092505	1.619884	7.526451
-3.092505	1.668971	7.624350
-3.092505	1.718058	7.721777
-3.092505	1.767146	7.818497
-3.092505	1.816233	7.914276
-3.092505	1.865321	8.008885
-3.092505	1.914408	8.102096
-3.092505	1.963495	8.193683
-3.092505	2.012583	8.283426
-3.092505	2.061670	8.371109
-3.092505	2.110758	8.456521
-3.092505	2.159845	8.539456
-3.092505	2.208932	8.619715
-3.092505	2.258020	8.697103
-3.092505	2.307107	8.771434
-3.092505	2.356194	8.842530
-3.092505	2.405282	8.910218
-3.092505	2.454369	8.974337
-3.092505	2.503457	9.034731
-3.092505	2.552544	9.091255
-3.092505	2.601631	9.143773
-3.092505	2.650719	9.192159
-3.092505	2.699806	9.236295
-3.092505	2.748894	9.276075
-3.092505	2.797981	9.311404
