path	fm energy1	fm energy2	fm_ energy1	fm_ energy2	afm energy1	afm energy2
0	8.480133	0.480133	13.088898	5.088898	10.784515	2.784515
1	8.479531	0.480735	13.088295	5.089500	10.783913	2.785118
2	8.477724	0.482542	13.086489	5.091307	10.782106	2.786924
3	8.474714	0.485552	13.083479	5.094317	10.779096	2.789934
4	8.470503	0.489764	13.079267	5.098528	10.774885	2.794146
5	8.465092	0.495174	13.073857	5.103939	10.769474	2.799556
6	8.458486	0.501780	13.067251	5.110545	10.762868	2.806162
7	8.450688	0.509578	13.059453	5.118342	10.755071	2.813960
8	8.441704	0.518562	13.050468	5.127327	10.746086	2.822945
9	8.431537	0.528729	13.040302	5.137493	10.735920	2.833111
10	8.420196	0.540071	13.028960	5.148835	10.724578	2.844453
11	8.407685	0.552581	13.016450	5.161346	10.712068	2.856963
12	8.394014	0.566252	13.002778	5.175017	10.698396	2.870635
13	8.379189	0.581077	12.987954	5.189841	10.683572	2.885459
14	8.363221	0.597045	12.971986	5.205810	10.667604	2.901427
15	8.346119	0.614147	12.954883	5.222912	10.650501	2.918530
16	8.327892	0.632374	12.936657	5.241139	10.632274	2.936756
17	8.308553	0.651714	12.917317	5.260478	10.612935	2.956096
18	8.288112	0.672154	12.896876	5.280919	10.592494	2.976537
19	8.266582	0.693684	12.875346	5.302449	10.570964	2.998067
20	8.243976	0.716291	12.852740	5.325055	10.548358	3.020673
21	8.220307	0.739959	12.829072	5.348724	10.524689	3.044341
22	8.195590	0.764676	12.804355	5.373440	10.499973	3.069058
23	8.169840	0.790426	12.778605	5.399191	10.474223	3.094808
24	8.143072	0.817194	12.751837	5.425958	10.447455	3.121576
25	8.115303	0.844963	12.724067	5.453728	10.419685	3.149346
26	8.086548	0.873718	12.695313	5.482483	10.390930	3.178100
27	8.056826	0.903440	12.665591	5.512205	10.361208	3.207823
28	8.026154	0.934112	12.634919	5.542877	10.330536	3.238494
29	7.994551	0.965715	12.603315	5.574480	10.298933	3.270098
