kx	ky	energy
-3.141593	-3.141593	5.530579
-3.141593	-3.092505	5.528170
-3.141593	-3.043418	5.520948
-3.141593	-2.994330	5.508932
-3.141593	-2.945243	5.492149
-3.141593	-2.896156	5.470641
-3.141593	-2.847068	5.444459
-3.141593	-2.797981	5.413667
-3.141593	-2.748894	5.378338
-3.141593	-2.699806	5.338557
-3.141593	-2.650719	5.294421
-3.141593	-2.601631	5.246036
-3.141593	-2.552544	5.193518
-3.141593	-2.503457	5.136994
-3.141593	-2.454369	5.076600
-3.141593	-2.405282	5.012481
-3.141593	-2.356194	4.944792
-3.141593	-2.307107	4.873697
-3.141593	-2.258020	4.799365
-3.141593	-2.208932	4.721977
-3.141593	-2.159845	4.641719
-3.141593	-2.110758	4.558784
-3.141593	-2.061670	4.473372
-3.141593	-2.012583	4.385689
-3.141593	-1.963495	4.295945
-3.141593	-1.914408	4.204358
-3.141593	-1.865321	4.111148
-3.141593	-1.816233	4.016539
-3.141593	-1.767146	3.920759
-3.141593	-1.718058	3.824040
-3.141593	-1.668971	3.726613
-3.141593	-1.619884	3.628714
-3.141593	-1.570796	3.530579
-3.141593	-1.521709	3.432443
-3.141593	-1.472622	3.334544
-3.141593	-1.423534	3.237118
-3.141593	-1.374447	3.140398
-3.141593	-1.325359	3.044618
-3.141593	-1.276272	2.950009
-3.141593	-1.227185	2.856799
-3.141593	-1.178097	2.765212
-3.141593	-1.129010	2.675468
-3.141593	-1.079922	2.587785
-3.141593	-1.030835	2.502373
-3.141593	-0.981748	2.419438
-3.141593	-0.932660	2.339180
-3.141593	-0.883573	2.261792
-3.141593	-0.834486	2.187461
-3.141593	-0.785398	2.116365
-3.141593	-0.736311	2.048676
-3.141593	-0.687223	1.984558
-3.141593	-0.638136	1.924164
-3.141593	-0.589049	1.867639
-3.141593	-0.539961	1.815121
-3.141593	-0.490874	1.766736
-3.141593	-0.441786	1.722600
-3.141593	-0.392699	1.682820
-3.141593	-0.343612	1.647490
-3.141593	-0.294524	1.616698
-3.141593	-0.245437	1.590516
-3.141593	-0.196350	1.569008
-3.141593	-0.147262	1.552226
-3.141593	-0.098175	1.540209
-3.141593	-0.049087	1.532988
-3.141593	0.000000	1.530579
-3.141593	0.049087	1.532988
-3.141593	0.098175	1.540209
-3.141593	0.147262	1.552226
-3.141593	0.196350	1.569008
-3.141593	0.245437	1.590516
-3.141593	0.294524	1.616698
-3.141593	0.343612	1.647490
-3.141593	0.392699	1.682820
-3.141593	0.441786	1.722600
-3.141593	0.490874	1.766736
-3.141593	0.539961	1.815121
-3.141593	0.589049	1.867639
-3.141593	0.638136	1.924164
-3.141593	0.687223	1.984558
-3.141593	0.736311	2.048676
-3.141593	0.785398	2.116365
-3.141593	0.834486	2.187461
-3.141593	0.883573	2.261792
-3.141593	0.932660	2.339180
-3.141593	0.981748	2.419438
-3.141593	1.030835	2.502373
-3.141593	1.079922	2.587785
-3.141593	1.129010	2.675468
-3.141593	1.178097	2.765212
-3.141593	1.227185	2.856799
-3.141593	1.276272	2.950009
-3.141593	1.325359	3.044618
-3.141593	1.374447	3.140398
-3.141593	1.423534	3.237118
-3.141593	1.472622	3.334544
-3.141593	1.521709	3.432443
