kx	ky	energy
-3.141593	-3.141593	4.508484
-3.141593	-3.092505	4.506075
-3.141593	-3.043418	4.498853
-3.141593	-2.994330	4.486837
-3.141593	-2.945243	4.470054
-3.141593	-2.896156	4.448546
-3.141593	-2.847068	4.422365
-3.141593	-2.797981	4.391572
-3.141593	-2.748894	4.356243
-3.141593	-2.699806	4.316462
-3.141593	-2.650719	4.272326
-3.141593	-2.601631	4.223941
-3.141593	-2.552544	4.171423
-3.141593	-2.503457	4.114899
-3.141593	-2.454369	4.054505
-3.141593	-2.405282	3.990386
-3.141593	-2.356194	3.922697
-3.141593	-2.307107	3.851602
-3.141593	-2.258020	3.777270
-3.141593	-2.208932	3.699882
-3.141593	-2.159845	3.619624
-3.141593	-2.110758	3.536689
-3.141593	-2.061670	3.451277
-3.141593	-2.012583	3.363594
-3.141593	-1.963495	3.273851
-3.141593	-1.914408	3.182264
-3.141593	-1.865321	3.089053
-3.141593	-1.816233	2.994444
-3.141593	-1.767146	2.898665
-3.141593	-1.718058	2.801945
-3.141593	-1.668971	2.704518
-3.141593	-1.619884	2.606619
-3.141593	-1.570796	2.508484
-3.141593	-1.521709	2.410349
-3.141593	-1.472622	2.312450
-3.141593	-1.423534	2.215023
-3.141593	-1.374447	2.118303
-3.141593	-1.325359	2.022524
-3.141593	-1.276272	1.927915
-3.141593	-1.227185	1.834704
-3.141593	-1.178097	1.743117
-3.141593	-1.129010	1.653374
-3.141593	-1.079922	1.565690
-3.141593	-1.030835	1.480278
-3.141593	-0.981748	1.397343
-3.141593	-0.932660	1.317085
-3.141593	-0.883573	1.239697
-3.141593	-0.834486	1.165366
-3.141593	-0.785398	1.094270
-3.141593	-0.736311	1.026582
-3.141593	-0.687223	0.962463
-3.141593	-0.638136	0.902069
-3.141593	-0.589049	0.845545
-3.141593	-0.539961	0.793027
-3.141593	-0.490874	0.744641
-3.141593	-0.441786	0.700505
-3.141593	-0.392699	0.660725
-3.141593	-0.343612	0.625396
-3.141593	-0.294524	0.594603
-3.141593	-0.245437	0.568421
-3.141593	-0.196350	0.546913
-3.141593	-0.147262	0.530131
-3.141593	-0.098175	0.518114
-3.141593	-0.049087	0.510893
-3.141593	0.000000	0.508484
-3.141593	0.049087	0.510893
-3.141593	0.098175	0.518114
-3.141593	0.147262	0.530131
-3.141593	0.196350	0.546913
-3.141593	0.245437	0.568421
-3.141593	0.294524	0.594603
-3.141593	0.343612	0.625396
-3.141593	0.392699	0.660725
-3.141593	0.441786	0.700505
-3.141593	0.490874	0.744641
-3.141593	0.539961	0.793027
-3.141593	0.589049	0.845545
-3.141593	0.638136	0.902069
-3.141593	0.687223	0.962463
-3.141593	0.736311	1.026582
-3.141593	0.785398	1.094270
-3.141593	0.834486	1.165366
-3.141593	0.883573	1.239697
-3.141593	0.932660	1.317085
-3.141593	0.981748	1.397343
-3.141593	1.030835	1.480278
-3.141593	1.079922	1.565690
-3.141593	1.129010	1.653374
-3.141593	1.178097	1.743117
-3.141593	1.227185	1.834704
-3.141593	1.276272	1.927915
-3.141593	1.325359	2.022524
-3.141593	1.374447	2.118303
-3.141593	1.423534	2.215023
-3.141593	1.472622	2.312450
-3.141593	1.521709	2.410349
