path	energy1	energy2	mu
300	-1.201575	6.798425	3.658000
301	-1.200588	6.797438	3.658000
302	-1.197628	6.794478	3.658000
303	-1.192699	6.789549	3.658000
304	-1.185804	6.782654	3.658000
305	-1.176952	6.773802	3.658000
306	-1.166150	6.763000	3.658000
307	-1.153409	6.750259	3.658000
308	-1.138741	6.735591	3.658000
309	-1.122162	6.719012	3.658000
310	-1.103688	6.700538	3.658000
311	-1.083337	6.680187	3.658000
312	-1.061128	6.657978	3.658000
313	-1.037084	6.633934	3.658000
314	-1.011229	6.608079	3.658000
315	-0.983588	6.580438	3.658000
316	-0.954188	6.551038	3.658000
317	-0.923059	6.519909	3.658000
318	-0.890231	6.487081	3.658000
319	-0.855736	6.452586	3.658000
320	-0.819609	6.416459	3.658000
321	-0.781885	6.378735	3.658000
322	-0.742601	6.339451	3.658000
323	-0.701797	6.298647	3.658000
324	-0.659512	6.256362	3.658000
325	-0.615789	6.212639	3.658000
326	-0.570669	6.167519	3.658000
327	-0.524199	6.121049	3.658000
328	-0.476423	6.073273	3.658000
329	-0.427389	6.024239	3.658000
330	-0.377146	5.973996	3.658000
331	-0.325742	5.922592	3.658000
332	-0.273229	5.870079	3.658000
333	-0.219658	5.816508	3.658000
334	-0.165082	5.761932	3.658000
335	-0.109556	5.706406	3.658000
336	-0.053134	5.649984	3.658000
337	0.004129	5.592721	3.658000
338	0.062176	5.534674	3.658000
339	0.120949	5.475901	3.658000
340	0.180391	5.416459	3.658000
341	0.240443	5.356407	3.658000
342	0.301045	5.295805	3.658000
343	0.362139	5.234711	3.658000
344	0.423662	5.173188	3.658000
345	0.485556	5.111294	3.658000
346	0.547759	5.049091	3.658000
347	0.610208	4.986642	3.658000
348	0.672844	4.924006	3.658000
349	0.735603	4.861247	3.658000
350	0.798425	4.798425	3.658000
351	0.861247	4.735603	3.658000
352	0.924006	4.672844	3.658000
353	0.986642	4.610208	3.658000
354	1.049091	4.547759	3.658000
355	1.111294	4.485556	3.658000
356	1.173188	4.423662	3.658000
357	1.234711	4.362139	3.658000
358	1.295805	4.301045	3.658000
359	1.356407	4.240443	3.658000
360	1.416459	4.180391	3.658000
361	1.475901	4.120949	3.658000
362	1.534674	4.062176	3.658000
363	1.592721	4.004129	3.658000
364	1.649984	3.946866	3.658000
365	1.706406	3.890444	3.658000
366	1.761932	3.834918	3.658000
367	1.816508	3.780342	3.658000
368	1.870079	3.726771	3.658000
369	1.922592	3.674258	3.658000
370	1.973996	3.622854	3.658000
371	2.024239	3.572611	3.658000
372	2.073273	3.523577	3.658000
373	2.121049	3.475801	3.658000
374	2.167519	3.429331	3.658000
375	2.212639	3.384211	3.658000
376	2.256362	3.340488	3.658000
377	2.298647	3.298203	3.658000
378	2.339451	3.257399	3.658000
379	2.378735	3.218115	3.658000
380	2.416459	3.180391	3.658000
381	2.452586	3.144264	3.658000
382	2.487081	3.109769	3.658000
383	2.519909	3.076941	3.658000
384	2.551038	3.045812	3.658000
385	2.580438	3.016412	3.658000
386	2.608079	2.988771	3.658000
387	2.633934	2.962916	3.658000
388	2.657978	2.938872	3.658000
389	2.680187	2.916663	3.658000
390	2.700538	2.896312	3.658000
391	2.719012	2.877838	3.658000
392	2.735591	2.861259	3.658000
393	2.750259	2.846591	3.658000
394	2.763000	2.833850	3.658000
395	2.773802	2.823048	3.658000
396	2.782654	2.814196	3.658000
397	2.789549	2.807301	3.658000
398	2.794478	2.802372	3.658000
399	2.797438	2.799412	3.658000
400	2.798425	2.798425	3.658000
401	2.797438	2.799412	3.658000
402	2.794478	2.802372	3.658000
403	2.789549	2.807301	3.658000
404	2.782654	2.814196	3.658000
405	2.773802	2.823048	3.658000
406	2.763000	2.833850	3.658000
407	2.750259	2.846591	3.658000
408	2.735591	2.861259	3.658000
409	2.719012	2.877838	3.658000
410	2.700538	2.896312	3.658000
411	2.680187	2.916663	3.658000
412	2.657978	2.938872	3.658000
413	2.633934	2.962916	3.658000
414	2.608079	2.988771	3.658000
415	2.580438	3.016412	3.658000
416	2.551038	3.045812	3.658000
417	2.519909	3.076941	3.658000
418	2.487081	3.109769	3.658000
419	2.452586	3.144264	3.658000
420	2.416459	3.180391	3.658000
421	2.378735	3.218115	3.658000
422	2.339451	3.257399	3.658000
423	2.298647	3.298203	3.658000
424	2.256362	3.340488	3.658000
425	2.212639	3.384211	3.658000
426	2.167519	3.429331	3.658000
427	2.121049	3.475801	3.658000
428	2.073273	3.523577	3.658000
429	2.024239	3.572611	3.658000
430	1.973996	3.622854	3.658000
431	1.922592	3.674258	3.658000
432	1.870079	3.726771	3.658000
433	1.816508	3.780342	3.658000
434	1.761932	3.834918	3.658000
435	1.706406	3.890444	3.658000
436	1.649984	3.946866	3.658000
437	1.592721	4.004129	3.658000
438	1.534674	4.062176	3.658000
439	1.475901	4.120949	3.658000
440	1.416459	4.180391	3.658000
441	1.356407	4.240443	3.658000
442	1.295805	4.301045	3.658000
443	1.234711	4.362139	3.658000
444	1.173188	4.423662	3.658000
445	1.111294	4.485556	3.658000
446	1.049091	4.547759	3.658000
447	0.986642	4.610208	3.658000
448	0.924006	4.672844	3.658000
449	0.861247	4.735603	3.658000
450	0.798425	4.798425	3.658000
451	0.735603	4.861247	3.658000
452	0.672844	4.924006	3.658000
453	0.610208	4.986642	3.658000
454	0.547759	5.049091	3.658000
455	0.485556	5.111294	3.658000
456	0.423662	5.173188	3.658000
457	0.362139	5.234711	3.658000
458	0.301045	5.295805	3.658000
459	0.240443	5.356407	3.658000
460	0.180391	5.416459	3.658000
461	0.120949	5.475901	3.658000
462	0.062176	5.534674	3.658000
463	0.004129	5.592721	3.658000
464	-0.053134	5.649984	3.658000
465	-0.109556	5.706406	3.658000
466	-0.165082	5.761932	3.658000
467	-0.219658	5.816508	3.658000
468	-0.273229	5.870079	3.658000
469	-0.325742	5.922592	3.658000
470	-0.377146	5.973996	3.658000
471	-0.427389	6.024239	3.658000
472	-0.476423	6.073273	3.658000
473	-0.524199	6.121049	3.658000
474	-0.570669	6.167519	3.658000
475	-0.615789	6.212639	3.658000
476	-0.659512	6.256362	3.658000
477	-0.701797	6.298647	3.658000
478	-0.742601	6.339451	3.658000
479	-0.781885	6.378735	3.658000
480	-0.819609	6.416459	3.658000
481	-0.855736	6.452586	3.658000
482	-0.890231	6.487081	3.658000
483	-0.923059	6.519909	3.658000
484	-0.954188	6.551038	3.658000
485	-0.983588	6.580438	3.658000
486	-1.011229	6.608079	3.658000
487	-1.037084	6.633934	3.658000
488	-1.061128	6.657978	3.658000
489	-1.083337	6.680187	3.658000
490	-1.103688	6.700538	3.658000
491	-1.122162	6.719012	3.658000
492	-1.138741	6.735591	3.658000
493	-1.153409	6.750259	3.658000
494	-1.166150	6.763000	3.658000
495	-1.176952	6.773802	3.658000
496	-1.185804	6.782654	3.658000
497	-1.192699	6.789549	3.658000
498	-1.197628	6.794478	3.658000
499	-1.200588	6.797438	3.658000
500	-1.201082	6.797932	3.658000
501	-1.199108	6.795958	3.658000
502	-1.193189	6.790039	3.658000
503	-1.183332	6.780182	3.658000
504	-1.169544	6.766394	3.658000
505	-1.151841	6.748691	3.658000
506	-1.130239	6.727089	3.658000
507	-1.104760	6.701610	3.658000
508	-1.075430	6.672280	3.658000
509	-1.042276	6.639126	3.658000
510	-1.005332	6.602182	3.658000
511	-0.964634	6.561484	3.658000
512	-0.920222	6.517072	3.658000
513	-0.872141	6.468991	3.658000
514	-0.820437	6.417287	3.658000
515	-0.765161	6.362011	3.658000
516	-0.706369	6.303219	3.658000
517	-0.644118	6.240968	3.658000
518	-0.578470	6.175320	3.658000
519	-0.509489	6.106339	3.658000
520	-0.437244	6.034094	3.658000
521	-0.361805	5.958655	3.658000
522	-0.283248	5.880098	3.658000
523	-0.201649	5.798499	3.658000
524	-0.117090	5.713940	3.658000
525	-0.029653	5.626503	3.658000
526	0.060574	5.536276	3.658000
527	0.153504	5.443346	3.658000
528	0.249044	5.347806	3.658000
529	0.347099	5.249751	3.658000
530	0.447574	5.149276	3.658000
531	0.550369	5.046481	3.658000
532	0.655382	4.941468	3.658000
533	0.762511	4.834339	3.658000
534	0.871648	4.725202	3.658000
535	0.982687	4.614163	3.658000
536	1.095518	4.501332	3.658000
537	1.210029	4.386821	3.658000
538	1.326108	4.270742	3.658000
539	1.443640	4.153210	3.658000
540	1.562510	4.034340	3.658000
541	1.682598	3.914252	3.658000
542	1.803788	3.793062	3.658000
543	1.925960	3.670890	3.658000
544	2.048992	3.547858	3.658000
545	2.172764	3.424086	3.658000
546	2.297154	3.299696	3.658000
547	2.422038	3.174812	3.658000
548	2.547294	3.049556	3.658000
549	2.672797	2.924053	3.658000
550	2.798425	2.798425	3.658000
551	2.672797	2.924053	3.658000
552	2.547294	3.049556	3.658000
553	2.422038	3.174812	3.658000
554	2.297154	3.299696	3.658000
555	2.172764	3.424086	3.658000
556	2.048992	3.547858	3.658000
557	1.925960	3.670890	3.658000
558	1.803788	3.793062	3.658000
559	1.682598	3.914252	3.658000
560	1.562510	4.034340	3.658000
561	1.443640	4.153210	3.658000
562	1.326108	4.270742	3.658000
563	1.210029	4.386821	3.658000
564	1.095518	4.501332	3.658000
565	0.982687	4.614163	3.658000
566	0.871648	4.725202	3.658000
567	0.762511	4.834339	3.658000
568	0.655382	4.941468	3.658000
569	0.550369	5.046481	3.658000
570	0.447574	5.149276	3.658000
571	0.347099	5.249751	3.658000
572	0.249044	5.347806	3.658000
573	0.153504	5.443346	3.658000
574	0.060574	5.536276	3.658000
575	-0.029653	5.626503	3.658000
576	-0.117090	5.713940	3.658000
577	-0.201649	5.798499	3.658000
578	-0.283248	5.880098	3.658000
579	-0.361805	5.958655	3.658000
580	-0.437244	6.034094	3.658000
581	-0.509489	6.106339	3.658000
582	-0.578470	6.175320	3.658000
583	-0.644118	6.240968	3.658000
584	-0.706369	6.303219	3.658000
585	-0.765161	6.362011	3.658000
586	-0.820437	6.417287	3.658000
587	-0.872141	6.468991	3.658000
588	-0.920222	6.517072	3.658000
589	-0.964634	6.561484	3.658000
