path	energy1	energy2	mu
1200	1.197070	9.197080	6.058000
1201	1.198057	9.196093	6.058000
1202	1.201017	9.193133	6.058000
1203	1.205946	9.188204	6.058000
1204	1.212841	9.181309	6.058000
1205	1.221693	9.172457	6.058000
1206	1.232496	9.161654	6.058000
1207	1.245237	9.148913	6.058000
1208	1.259904	9.134246	6.058000
1209	1.276483	9.117667	6.058000
1210	1.294957	9.099193	6.058000
1211	1.315308	9.078842	6.058000
1212	1.337517	9.056633	6.058000
1213	1.361561	9.032589	6.058000
1214	1.387416	9.006734	6.058000
1215	1.415057	8.979093	6.058000
1216	1.444456	8.949694	6.058000
1217	1.475586	8.918564	6.058000
1218	1.508414	8.885736	6.058000
1219	1.542909	8.851241	6.058000
1220	1.579036	8.815114	6.058000
1221	1.616760	8.777390	6.058000
1222	1.656043	8.738107	6.058000
1223	1.696847	8.697303	6.058000
1224	1.739132	8.655018	6.058000
1225	1.782856	8.611294	6.058000
1226	1.827975	8.566175	6.058000
1227	1.874445	8.519705	6.058000
1228	1.922221	8.471929	6.058000
1229	1.971255	8.422895	6.058000
1230	2.021498	8.372652	6.058000
1231	2.072902	8.321248	6.058000
1232	2.125415	8.268735	6.058000
1233	2.178986	8.215164	6.058000
1234	2.233561	8.160589	6.058000
1235	2.289087	8.105063	6.058000
1236	2.345510	8.048640	6.058000
1237	2.402772	7.991378	6.058000
1238	2.460819	7.933331	6.058000
1239	2.519592	7.874558	6.058000
1240	2.579034	7.815116	6.058000
1241	2.639085	7.755065	6.058000
1242	2.699687	7.694463	6.058000
1243	2.760781	7.633369	6.058000
1244	2.822304	7.571846	6.058000
1245	2.884198	7.509952	6.058000
1246	2.946400	7.447750	6.058000
1247	3.008850	7.385300	6.058000
1248	3.071485	7.322665	6.058000
1249	3.134244	7.259906	6.058000
1250	3.197065	7.197085	6.058000
1251	3.259887	7.134263	6.058000
1252	3.322646	7.071504	6.058000
1253	3.385281	7.008869	6.058000
1254	3.447730	6.946420	6.058000
1255	3.509932	6.884218	6.058000
1256	3.571826	6.822324	6.058000
1257	3.633349	6.760801	6.058000
1258	3.694442	6.699708	6.058000
1259	3.755044	6.639106	6.058000
1260	3.815095	6.579055	6.058000
1261	3.874536	6.519614	6.058000
1262	3.933309	6.460841	6.058000
1263	3.991355	6.402795	6.058000
1264	4.048617	6.345533	6.058000
1265	4.105038	6.289112	6.058000
1266	4.160564	6.233586	6.058000
1267	4.215138	6.179012	6.058000
1268	4.268708	6.125442	6.058000
1269	4.321220	6.072930	6.058000
1270	4.372622	6.021528	6.058000
1271	4.422864	5.971286	6.058000
1272	4.471896	5.922254	6.058000
1273	4.519670	5.874480	6.058000
1274	4.566139	5.828011	6.058000
1275	4.611255	5.782895	6.058000
1276	4.654977	5.739173	6.058000
1277	4.697258	5.696892	6.058000
1278	4.738059	5.656091	6.058000
1279	4.777339	5.616811	6.058000
1280	4.815058	5.579092	6.058000
1281	4.851180	5.542970	6.058000
1282	4.885669	5.508481	6.058000
1283	4.918490	5.475660	6.058000
1284	4.949610	5.444540	6.058000
1285	4.978999	5.415151	6.058000
1286	5.006627	5.387523	6.058000
1287	5.032467	5.361683	6.058000
1288	5.056490	5.337660	6.058000
1289	5.078673	5.315477	6.058000
1290	5.098990	5.295160	6.058000
1291	5.117419	5.276731	6.058000
1292	5.133934	5.260216	6.058000
1293	5.148508	5.245642	6.058000
1294	5.161107	5.233043	6.058000
1295	5.171677	5.222473	6.058000
1296	5.180121	5.214029	6.058000
1297	5.186234	5.207916	6.058000
1298	5.189705	5.204445	6.058000
1299	5.190773	5.203377	6.058000
1300	5.190851	5.203299	6.058000
1301	5.190773	5.203377	6.058000
1302	5.189705	5.204445	6.058000
1303	5.186234	5.207916	6.058000
1304	5.180121	5.214029	6.058000
1305	5.171677	5.222473	6.058000
1306	5.161107	5.233043	6.058000
1307	5.148508	5.245642	6.058000
1308	5.133934	5.260216	6.058000
1309	5.117419	5.276731	6.058000
1310	5.098990	5.295160	6.058000
1311	5.078673	5.315477	6.058000
1312	5.056490	5.337660	6.058000
1313	5.032467	5.361683	6.058000
1314	5.006627	5.387523	6.058000
1315	4.978999	5.415151	6.058000
1316	4.949610	5.444540	6.058000
1317	4.918490	5.475660	6.058000
1318	4.885669	5.508481	6.058000
1319	4.851180	5.542970	6.058000
1320	4.815058	5.579092	6.058000
1321	4.777339	5.616811	6.058000
1322	4.738059	5.656091	6.058000
1323	4.697258	5.696892	6.058000
1324	4.654977	5.739173	6.058000
1325	4.611255	5.782895	6.058000
1326	4.566139	5.828011	6.058000
1327	4.519670	5.874480	6.058000
1328	4.471896	5.922254	6.058000
1329	4.422864	5.971286	6.058000
1330	4.372622	6.021528	6.058000
1331	4.321220	6.072930	6.058000
1332	4.268708	6.125442	6.058000
1333	4.215138	6.179012	6.058000
1334	4.160564	6.233586	6.058000
1335	4.105038	6.289112	6.058000
1336	4.048617	6.345533	6.058000
1337	3.991355	6.402795	6.058000
1338	3.933309	6.460841	6.058000
1339	3.874536	6.519614	6.058000
1340	3.815095	6.579055	6.058000
1341	3.755044	6.639106	6.058000
1342	3.694442	6.699708	6.058000
1343	3.633349	6.760801	6.058000
1344	3.571826	6.822324	6.058000
1345	3.509932	6.884218	6.058000
1346	3.447730	6.946420	6.058000
1347	3.385281	7.008869	6.058000
1348	3.322646	7.071504	6.058000
1349	3.259887	7.134263	6.058000
1350	3.197065	7.197085	6.058000
1351	3.134244	7.259906	6.058000
1352	3.071485	7.322665	6.058000
1353	3.008850	7.385300	6.058000
1354	2.946400	7.447750	6.058000
1355	2.884198	7.509952	6.058000
1356	2.822304	7.571846	6.058000
1357	2.760781	7.633369	6.058000
1358	2.699687	7.694463	6.058000
