#f n/2	a n/2	1/u	f e-eu	a e-eu	elapsed time(s)
0.899950	0.900500	0.074074	-0.680337	-0.644792	119.185708
0.899950	0.900500	0.074627	-0.680385	-0.649239	89.702625
0.899950	0.900500	0.075188	-0.680435	-0.653749	92.678580
0.899950	0.900500	0.075758	-0.680428	-0.658321	96.078692
0.899950	0.900500	0.076336	-0.680392	-0.662959	99.469706
0.899950	0.900500	0.076923	-0.680407	-0.667659	92.023113
0.899950	0.900500	0.077519	-0.680402	-0.672428	99.980057
0.899950	0.900500	0.078125	-0.680448	-0.677265	96.968183
0.899950	0.900500	0.078740	-0.680406	-0.682172	94.100546
0.899950	0.900500	0.079365	-0.680435	-0.687150	86.602668
0.899950	0.900500	0.080000	-0.680465	-0.692200	114.277862
