kx	ky	energy
-3.141593	-3.141593	6.058350	5.941650
-3.141593	-3.092505	6.055941	5.939241
-3.141593	-3.043418	6.048719	5.932020
-3.141593	-2.994330	6.036703	5.920003
-3.141593	-2.945243	6.019920	5.903221
-3.141593	-2.896156	5.998412	5.881713
-3.141593	-2.847068	5.972230	5.855531
-3.141593	-2.797981	5.941438	5.824739
-3.141593	-2.748894	5.906109	5.789409
-3.141593	-2.699806	5.866328	5.749629
-3.141593	-2.650719	5.822192	5.705493
-3.141593	-2.601631	5.773807	5.657108
-3.141593	-2.552544	5.721289	5.604590
-3.141593	-2.503457	5.664765	5.548065
-3.141593	-2.454369	5.604371	5.487671
-3.141593	-2.405282	5.540252	5.423553
-3.141593	-2.356194	5.472563	5.355864
-3.141593	-2.307107	5.401468	5.284768
-3.141593	-2.258020	5.327136	5.210437
-3.141593	-2.208932	5.249748	5.133049
-3.141593	-2.159845	5.169490	5.052791
-3.141593	-2.110758	5.086555	4.969856
-3.141593	-2.061670	5.001143	4.884444
-3.141593	-2.012583	4.913460	4.796761
-3.141593	-1.963495	4.823716	4.707017
-3.141593	-1.914408	4.732129	4.615430
-3.141593	-1.865321	4.638919	4.522220
-3.141593	-1.816233	4.544310	4.427611
-3.141593	-1.767146	4.448530	4.331831
-3.141593	-1.718058	4.351811	4.235111
-3.141593	-1.668971	4.254384	4.137685
-3.141593	-1.619884	4.156485	4.039786
-3.141593	-1.570796	4.058350	3.941650
-3.141593	-1.521709	3.960214	3.843515
-3.141593	-1.472622	3.862315	3.745616
-3.141593	-1.423534	3.764889	3.648189
-3.141593	-1.374447	3.668169	3.551470
-3.141593	-1.325359	3.572389	3.455690
-3.141593	-1.276272	3.477780	3.361081
-3.141593	-1.227185	3.384570	3.267871
-3.141593	-1.178097	3.292983	3.176284
-3.141593	-1.129010	3.203239	3.086540
-3.141593	-1.079922	3.115556	2.998857
-3.141593	-1.030835	3.030144	2.913445
-3.141593	-0.981748	2.947209	2.830510
-3.141593	-0.932660	2.866951	2.750252
