kx	ky	energy
-3.092505	-2.208932	4.732752	4.645227
-3.092505	-2.159845	4.652494	4.564969
-3.092505	-2.110758	4.569559	4.482034
-3.092505	-2.061670	4.484147	4.396622
-3.092505	-2.012583	4.396463	4.308939
-3.092505	-1.963495	4.306720	4.219196
-3.092505	-1.914408	4.215133	4.127608
-3.092505	-1.865321	4.121922	4.034398
-3.092505	-1.816233	4.027313	3.939789
-3.092505	-1.767146	3.931534	3.844009
-3.092505	-1.718058	3.834814	3.747290
-3.092505	-1.668971	3.737387	3.649863
-3.092505	-1.619884	3.639488	3.551964
-3.092505	-1.570796	3.541353	3.453829
-3.092505	-1.521709	3.443218	3.355693
-3.092505	-1.472622	3.345319	3.257794
-3.092505	-1.423534	3.247892	3.160368
-3.092505	-1.374447	3.151172	3.063648
-3.092505	-1.325359	3.055393	2.967868
-3.092505	-1.276272	2.960784	2.873259
-3.092505	-1.227185	2.867573	2.780049
-3.092505	-1.178097	2.775986	2.688462
-3.092505	-1.129010	2.686243	2.598719
-3.092505	-1.079922	2.598560	2.511035
-3.092505	-1.030835	2.513148	2.425623
-3.092505	-0.981748	2.430213	2.342688
-3.092505	-0.932660	2.349955	2.262430
-3.092505	-0.883573	2.272567	2.185042
-3.092505	-0.834486	2.198235	2.110711
-3.092505	-0.785398	2.127140	2.039615
-3.092505	-0.736311	2.059451	1.971926
-3.092505	-0.687223	1.995332	1.907808
-3.092505	-0.638136	1.934938	1.847414
-3.092505	-0.589049	1.878414	1.790889
-3.092505	-0.539961	1.825896	1.738371
-3.092505	-0.490874	1.777511	1.689986
-3.092505	-0.441786	1.733375	1.645850
-3.092505	-0.392699	1.693594	1.606070
-3.092505	-0.343612	1.658265	1.570741
-3.092505	-0.294524	1.627472	1.539948
-3.092505	-0.245437	1.601291	1.513766
-3.092505	-0.196350	1.579783	1.492258
-3.092505	-0.147262	1.563000	1.475476
-3.092505	-0.098175	1.550984	1.463459
-3.092505	-0.049087	1.543762	1.456238
-3.092505	0.000000	1.541353	1.453829
-3.092505	0.049087	1.543762	1.456238
-3.092505	0.098175	1.550984	1.463459
-3.092505	0.147262	1.563000	1.475476
-3.092505	0.196350	1.579783	1.492258
-3.092505	0.245437	1.601291	1.513766
-3.092505	0.294524	1.627472	1.539948
-3.092505	0.343612	1.658265	1.570741
-3.092505	0.392699	1.693594	1.606070
-3.092505	0.441786	1.733375	1.645850
-3.092505	0.490874	1.777511	1.689986
-3.092505	0.539961	1.825896	1.738371
-3.092505	0.589049	1.878414	1.790889
-3.092505	0.638136	1.934938	1.847414
-3.092505	0.687223	1.995332	1.907808
-3.092505	0.736311	2.059451	1.971926
-3.092505	0.785398	2.127140	2.039615
-3.092505	0.834486	2.198235	2.110711
-3.092505	0.883573	2.272567	2.185042
-3.092505	0.932660	2.349955	2.262430
-3.092505	0.981748	2.430213	2.342688
-3.092505	1.030835	2.513148	2.425623
-3.092505	1.079922	2.598560	2.511035
-3.092505	1.129010	2.686243	2.598719
-3.092505	1.178097	2.775986	2.688462
-3.092505	1.227185	2.867573	2.780049
-3.092505	1.276272	2.960784	2.873259
-3.092505	1.325359	3.055393	2.967868
-3.092505	1.374447	3.151172	3.063648
-3.092505	1.423534	3.247892	3.160368
-3.092505	1.472622	3.345319	3.257794
-3.092505	1.521709	3.443218	3.355693
-3.092505	1.570796	3.541353	3.453829
-3.092505	1.619884	3.639488	3.551964
-3.092505	1.668971	3.737387	3.649863
-3.092505	1.718058	3.834814	3.747290
-3.092505	1.767146	3.931534	3.844009
-3.092505	1.816233	4.027313	3.939789
-3.092505	1.865321	4.121922	4.034398
-3.092505	1.914408	4.215133	4.127608
-3.092505	1.963495	4.306720	4.219196
-3.092505	2.012583	4.396463	4.308939
-3.092505	2.061670	4.484147	4.396622
-3.092505	2.110758	4.569559	4.482034
-3.092505	2.159845	4.652494	4.564969
-3.092505	2.208932	4.732752	4.645227
-3.092505	2.258020	4.810140	4.722615
-3.092505	2.307107	4.884471	4.796947
-3.092505	2.356194	4.955567	4.868042
-3.092505	2.405282	5.023255	4.935731
-3.092505	2.454369	5.087374	4.999850
-3.092505	2.503457	5.147768	5.060244
-3.092505	2.552544	5.204292	5.116768
-3.092505	2.601631	5.256810	5.169286
-3.092505	2.650719	5.305196	5.217671
-3.092505	2.699806	5.349332	5.261807
-3.092505	2.748894	5.389112	5.301588
-3.092505	2.797981	5.424441	5.336917
-3.092505	2.847068	5.455234	5.367709
-3.092505	2.896156	5.481416	5.393891
-3.092505	2.945243	5.502924	5.415399
-3.092505	2.994330	5.519706	5.432182
-3.092505	3.043418	5.531723	5.444198
-3.092505	3.092505	5.538944	5.451420
-3.043418	-3.141593	5.534132	5.446607
-3.043418	-3.092505	5.531723	5.444198
-3.043418	-3.043418	5.524501	5.436977
-3.043418	-2.994330	5.512485	5.424960
-3.043418	-2.945243	5.495702	5.408178
-3.043418	-2.896156	5.474194	5.386670
-3.043418	-2.847068	5.448012	5.360488
-3.043418	-2.797981	5.417220	5.329695
-3.043418	-2.748894	5.381891	5.294366
-3.043418	-2.699806	5.342110	5.254586
-3.043418	-2.650719	5.297974	5.210450
-3.043418	-2.601631	5.249589	5.162064
-3.043418	-2.552544	5.197071	5.109546
-3.043418	-2.503457	5.140547	5.053022
-3.043418	-2.454369	5.080153	4.992628
-3.043418	-2.405282	5.016034	4.928509
-3.043418	-2.356194	4.948345	4.860821
-3.043418	-2.307107	4.877250	4.789725
-3.043418	-2.258020	4.802918	4.715394
-3.043418	-2.208932	4.725530	4.638006
-3.043418	-2.159845	4.645272	4.557748
-3.043418	-2.110758	4.562337	4.474813
-3.043418	-2.061670	4.476925	4.389401
-3.043418	-2.012583	4.389242	4.301717
-3.043418	-1.963495	4.299499	4.211974
-3.043418	-1.914408	4.207911	4.120387
-3.043418	-1.865321	4.114701	4.027177
-3.043418	-1.816233	4.020092	3.932568
