path	energy1	energy2	mu0	-3.492669	4.508233	-0.490000
1	-3.492067	4.507631	-0.490000
2	-3.490260	4.505824	-0.490000
3	-3.487250	4.502814	-0.490000
4	-3.483039	4.498603	-0.490000
5	-3.477630	4.493194	-0.490000
6	-3.471024	4.486588	-0.490000
7	-3.463228	4.478791	-0.490000
8	-3.454244	4.469808	-0.490000
9	-3.444079	4.459643	-0.490000
10	-3.432738	4.448302	-0.490000
11	-3.420229	4.435793	-0.490000
12	-3.406559	4.422123	-0.490000
13	-3.391737	4.407301	-0.490000
14	-3.375771	4.391335	-0.490000
15	-3.358670	4.374234	-0.490000
16	-3.340446	4.356010	-0.490000
17	-3.321109	4.336673	-0.490000
18	-3.300670	4.316234	-0.490000
19	-3.279143	4.294707	-0.490000
20	-3.256540	4.272104	-0.490000
21	-3.232874	4.248438	-0.490000
22	-3.208161	4.223725	-0.490000
23	-3.182414	4.197978	-0.490000
24	-3.155650	4.171214	-0.490000
25	-3.127884	4.143448	-0.490000
26	-3.099133	4.114697	-0.490000
27	-3.069415	4.084979	-0.490000
28	-3.038747	4.054311	-0.490000
29	-3.007149	4.022713	-0.490000
30	-2.974638	3.990202	-0.490000
31	-2.941235	3.956799	-0.490000
32	-2.906960	3.922524	-0.490000
33	-2.871833	3.887397	-0.490000
34	-2.835875	3.851439	-0.490000
35	-2.799109	3.814673	-0.490000
36	-2.761556	3.777120	-0.490000
37	-2.723239	3.738803	-0.490000
38	-2.684182	3.699746	-0.490000
39	-2.644407	3.659971	-0.490000
40	-2.603938	3.619502	-0.490000
41	-2.562801	3.578365	-0.490000
42	-2.521019	3.536583	-0.490000
43	-2.478618	3.494182	-0.490000
44	-2.435624	3.451188	-0.490000
45	-2.392063	3.407627	-0.490000
46	-2.347960	3.363524	-0.490000
47	-2.303342	3.318906	-0.490000
48	-2.258237	3.273801	-0.490000
49	-2.212671	3.228235	-0.490000
50	-2.166672	3.182236	-0.490000
51	-2.120268	3.135832	-0.490000
52	-2.073486	3.089050	-0.490000
53	-2.026355	3.041919	-0.490000
54	-1.978904	2.994468	-0.490000
55	-1.931160	2.946724	-0.490000
56	-1.883153	2.898717	-0.490000
57	-1.834912	2.850476	-0.490000
58	-1.786465	2.802029	-0.490000
59	-1.737843	2.753407	-0.490000
60	-1.689073	2.704637	-0.490000
61	-1.640187	2.655751	-0.490000
62	-1.591213	2.606777	-0.490000
63	-1.542180	2.557744	-0.490000
64	-1.493120	2.508684	-0.490000
65	-1.444060	2.459624	-0.490000
66	-1.395031	2.410595	-0.490000
67	-1.346062	2.361626	-0.490000
68	-1.297183	2.312747	-0.490000
69	-1.248424	2.263988	-0.490000
70	-1.199814	2.215378	-0.490000
71	-1.151382	2.166946	-0.490000
72	-1.103157	2.118721	-0.490000
73	-1.055170	2.070734	-0.490000
74	-1.007448	2.023012	-0.490000
75	-0.960022	1.975586	-0.490000
76	-0.912919	1.928483	-0.490000
77	-0.866168	1.881732	-0.490000
78	-0.819798	1.835361	-0.490000
79	-0.773836	1.789400	-0.490000
80	-0.728311	1.743875	-0.490000
81	-0.683251	1.698815	-0.490000
82	-0.638682	1.654246	-0.490000
83	-0.594633	1.610197	-0.490000
84	-0.551129	1.566693	-0.490000
85	-0.508198	1.523762	-0.490000
86	-0.465867	1.481431	-0.490000
87	-0.424160	1.439724	-0.490000
88	-0.383104	1.398668	-0.490000
89	-0.342725	1.358289	-0.490000
90	-0.303047	1.318611	-0.490000
91	-0.264095	1.279659	-0.490000
92	-0.225894	1.241458	-0.490000
93	-0.188468	1.204031	-0.490000
94	-0.151840	1.167404	-0.490000
95	-0.116035	1.131599	-0.490000
96	-0.081075	1.096639	-0.490000
97	-0.046984	1.062548	-0.490000
98	-0.013785	1.029349	-0.490000
99	0.018500	0.997064	-0.490000
100	0.049847	0.965717	-0.490000
101	0.080235	0.935328	-0.490000
102	0.109641	0.905923	-0.490000
103	0.138041	0.877523	-0.490000
104	0.165412	0.850152	-0.490000
105	0.191730	0.823834	-0.490000
106	0.216970	0.798594	-0.490000
107	0.241105	0.774459	-0.490000
108	0.264107	0.751457	-0.490000
109	0.285946	0.729618	-0.490000
110	0.306587	0.708977	-0.490000
111	0.325994	0.689570	-0.490000
112	0.344123	0.671441	-0.490000
113	0.360925	0.654639	-0.490000
114	0.376346	0.639218	-0.490000
115	0.390323	0.625241	-0.490000
116	0.402789	0.612775	-0.490000
117	0.413677	0.601887	-0.490000
118	0.422932	0.592632	-0.490000
119	0.430525	0.585039	-0.490000
120	0.436481	0.579083	-0.490000
121	0.440893	0.574670	-0.490000
122	0.443941	0.571623	-0.490000
123	0.445868	0.569696	-0.490000
124	0.446956	0.568608	-0.490000
125	0.447479	0.568085	-0.490000
126	0.447675	0.567889	-0.490000
127	0.447720	0.567844	-0.490000
128	0.447723	0.567841	-0.490000
129	0.447720	0.567844	-0.490000
130	0.447675	0.567889	-0.490000
131	0.447479	0.568085	-0.490000
132	0.446956	0.568608	-0.490000
133	0.445868	0.569696	-0.490000
134	0.443941	0.571623	-0.490000
135	0.440893	0.574670	-0.490000
136	0.436481	0.579083	-0.490000
137	0.430525	0.585039	-0.490000
138	0.422932	0.592632	-0.490000
139	0.413677	0.601887	-0.490000
140	0.402789	0.612775	-0.490000
141	0.390323	0.625241	-0.490000
142	0.376346	0.639218	-0.490000
143	0.360925	0.654639	-0.490000
144	0.344123	0.671441	-0.490000
145	0.325994	0.689570	-0.490000
146	0.306587	0.708977	-0.490000
147	0.285946	0.729618	-0.490000
148	0.264107	0.751457	-0.490000
