kx	ky	energy
-3.141593	-3.141593	13.000000
-3.141593	-3.092505	12.997591
-3.141593	-3.043418	12.990369
-3.141593	-2.994330	12.978353
-3.141593	-2.945243	12.961571
-3.141593	-2.896156	12.940063
-3.141593	-2.847068	12.913881
-3.141593	-2.797981	12.883088
-3.141593	-2.748894	12.847759
-3.141593	-2.699806	12.807979
-3.141593	-2.650719	12.763843
-3.141593	-2.601631	12.715457
-3.141593	-2.552544	12.662939
-3.141593	-2.503457	12.606415
-3.141593	-2.454369	12.546021
-3.141593	-2.405282	12.481902
-3.141593	-2.356194	12.414214
-3.141593	-2.307107	12.343118
-3.141593	-2.258020	12.268787
-3.141593	-2.208932	12.191399
-3.141593	-2.159845	12.111140
-3.141593	-2.110758	12.028205
-3.141593	-2.061670	11.942793
-3.141593	-2.012583	11.855110
-3.141593	-1.963495	11.765367
-3.141593	-1.914408	11.673780
-3.141593	-1.865321	11.580569
-3.141593	-1.816233	11.485960
-3.141593	-1.767146	11.390181
-3.141593	-1.718058	11.293461
-3.141593	-1.668971	11.196034
-3.141593	-1.619884	11.098135
-3.141593	-1.570796	11.000000
-3.141593	-1.521709	10.901865
-3.141593	-1.472622	10.803966
-3.141593	-1.423534	10.706539
-3.141593	-1.374447	10.609819
-3.141593	-1.325359	10.514040
-3.141593	-1.276272	10.419431
-3.141593	-1.227185	10.326220
-3.141593	-1.178097	10.234633
-3.141593	-1.129010	10.144890
-3.141593	-1.079922	10.057207
-3.141593	-1.030835	9.971795
-3.141593	-0.981748	9.888860
-3.141593	-0.932660	9.808601
-3.141593	-0.883573	9.731213
-3.141593	-0.834486	9.656882
-3.141593	-0.785398	9.585786
-3.141593	-0.736311	9.518098
-3.141593	-0.687223	9.453979
-3.141593	-0.638136	9.393585
-3.141593	-0.589049	9.337061
-3.141593	-0.539961	9.284543
-3.141593	-0.490874	9.236157
-3.141593	-0.441786	9.192021
-3.141593	-0.392699	9.152241
-3.141593	-0.343612	9.116912
-3.141593	-0.294524	9.086119
-3.141593	-0.245437	9.059937
-3.141593	-0.196350	9.038429
-3.141593	-0.147262	9.021647
-3.141593	-0.098175	9.009631
-3.141593	-0.049087	9.002409
-3.141593	0.000000	9.000000
-3.141593	0.049087	9.002409
-3.141593	0.098175	9.009631
-3.141593	0.147262	9.021647
-3.141593	0.196350	9.038429
-3.141593	0.245437	9.059937
-3.141593	0.294524	9.086119
-3.141593	0.343612	9.116912
-3.141593	0.392699	9.152241
-3.141593	0.441786	9.192021
-3.141593	0.490874	9.236157
-3.141593	0.539961	9.284543
-3.141593	0.589049	9.337061
-3.141593	0.638136	9.393585
-3.141593	0.687223	9.453979
-3.141593	0.736311	9.518098
-3.141593	0.785398	9.585786
-3.141593	0.834486	9.656882
-3.141593	0.883573	9.731213
-3.141593	0.932660	9.808601
-3.141593	0.981748	9.888860
-3.141593	1.030835	9.971795
-3.141593	1.079922	10.057207
-3.141593	1.129010	10.144890
-3.141593	1.178097	10.234633
-3.141593	1.227185	10.326220
-3.141593	1.276272	10.419431
-3.141593	1.325359	10.514040
-3.141593	1.374447	10.609819
-3.141593	1.423534	10.706539
-3.141593	1.472622	10.803966
-3.141593	1.521709	10.901865
-3.141593	1.570796	11.000000
-3.141593	1.619884	11.098135
-3.141593	1.668971	11.196034
-3.141593	1.718058	11.293461
-3.141593	1.767146	11.390181
-3.141593	1.816233	11.485960
-3.141593	1.865321	11.580569
-3.141593	1.914408	11.673780
-3.141593	1.963495	11.765367
-3.141593	2.012583	11.855110
-3.141593	2.061670	11.942793
-3.141593	2.110758	12.028205
-3.141593	2.159845	12.111140
-3.141593	2.208932	12.191399
-3.141593	2.258020	12.268787
-3.141593	2.307107	12.343118
-3.141593	2.356194	12.414214
-3.141593	2.405282	12.481902
-3.141593	2.454369	12.546021
-3.141593	2.503457	12.606415
-3.141593	2.552544	12.662939
-3.141593	2.601631	12.715457
-3.141593	2.650719	12.763843
-3.141593	2.699806	12.807979
-3.141593	2.748894	12.847759
-3.141593	2.797981	12.883088
-3.141593	2.847068	12.913881
-3.141593	2.896156	12.940063
-3.141593	2.945243	12.961571
-3.141593	2.994330	12.978353
-3.141593	3.043418	12.990369
-3.141593	3.092505	12.997591
-3.092505	-3.141593	12.997591
-3.092505	-3.092505	12.995182
-3.092505	-3.043418	12.987960
-3.092505	-2.994330	12.975944
-3.092505	-2.945243	12.959161
-3.092505	-2.896156	12.937653
-3.092505	-2.847068	12.911472
-3.092505	-2.797981	12.880679
-3.092505	-2.748894	12.845350
-3.092505	-2.699806	12.805569
-3.092505	-2.650719	12.761433
-3.092505	-2.601631	12.713048
-3.092505	-2.552544	12.660530
-3.092505	-2.503457	12.604006
-3.092505	-2.454369	12.543612
-3.092505	-2.405282	12.479493
-3.092505	-2.356194	12.411804
-3.092505	-2.307107	12.340709
-3.092505	-2.258020	12.266377
-3.092505	-2.208932	12.188990
-3.092505	-2.159845	12.108731
-3.092505	-2.110758	12.025796
-3.092505	-2.061670	11.940384
-3.092505	-2.012583	11.852701
-3.092505	-1.963495	11.762958
-3.092505	-1.914408	11.671371
-3.092505	-1.865321	11.578160
-3.092505	-1.816233	11.483551
-3.092505	-1.767146	11.387772
-3.092505	-1.718058	11.291052
-3.092505	-1.668971	11.193625
-3.092505	-1.619884	11.095726
-3.092505	-1.570796	10.997591
-3.092505	-1.521709	10.899456
-3.092505	-1.472622	10.801557
-3.092505	-1.423534	10.704130
-3.092505	-1.374447	10.607410
