kx	ky	energy
-3.141593	-3.141593	5.016968
-3.141593	-3.092505	5.014559
-3.141593	-3.043418	5.007337
-3.141593	-2.994330	4.995321
-3.141593	-2.945243	4.978538
-3.141593	-2.896156	4.957030
-3.141593	-2.847068	4.930848
-3.141593	-2.797981	4.900056
-3.141593	-2.748894	4.864727
-3.141593	-2.699806	4.824946
-3.141593	-2.650719	4.780810
-3.141593	-2.601631	4.732425
-3.141593	-2.552544	4.679907
-3.141593	-2.503457	4.623383
-3.141593	-2.454369	4.562989
-3.141593	-2.405282	4.498870
-3.141593	-2.356194	4.431181
-3.141593	-2.307107	4.360086
-3.141593	-2.258020	4.285754
-3.141593	-2.208932	4.208366
-3.141593	-2.159845	4.128108
-3.141593	-2.110758	4.045173
-3.141593	-2.061670	3.959761
-3.141593	-2.012583	3.872078
-3.141593	-1.963495	3.782335
-3.141593	-1.914408	3.690747
-3.141593	-1.865321	3.597537
-3.141593	-1.816233	3.502928
-3.141593	-1.767146	3.407148
-3.141593	-1.718058	3.310429
-3.141593	-1.668971	3.213002
-3.141593	-1.619884	3.115103
-3.141593	-1.570796	3.016968
-3.141593	-1.521709	2.918832
-3.141593	-1.472622	2.820933
-3.141593	-1.423534	2.723507
-3.141593	-1.374447	2.626787
-3.141593	-1.325359	2.531007
-3.141593	-1.276272	2.436398
-3.141593	-1.227185	2.343188
-3.141593	-1.178097	2.251601
-3.141593	-1.129010	2.161858
-3.141593	-1.079922	2.074174
-3.141593	-1.030835	1.988762
-3.141593	-0.981748	1.905827
-3.141593	-0.932660	1.825569
-3.141593	-0.883573	1.748181
-3.141593	-0.834486	1.673850
-3.141593	-0.785398	1.602754
-3.141593	-0.736311	1.535066
-3.141593	-0.687223	1.470947
-3.141593	-0.638136	1.410553
-3.141593	-0.589049	1.354029
-3.141593	-0.539961	1.301511
-3.141593	-0.490874	1.253125
-3.141593	-0.441786	1.208989
-3.141593	-0.392699	1.169209
-3.141593	-0.343612	1.133880
-3.141593	-0.294524	1.103087
-3.141593	-0.245437	1.076905
-3.141593	-0.196350	1.055397
-3.141593	-0.147262	1.038615
-3.141593	-0.098175	1.026598
-3.141593	-0.049087	1.019377
-3.141593	0.000000	1.016968
-3.141593	0.049087	1.019377
-3.141593	0.098175	1.026598
-3.141593	0.147262	1.038615
-3.141593	0.196350	1.055397
-3.141593	0.245437	1.076905
-3.141593	0.294524	1.103087
-3.141593	0.343612	1.133880
-3.141593	0.392699	1.169209
-3.141593	0.441786	1.208989
-3.141593	0.490874	1.253125
-3.141593	0.539961	1.301511
-3.141593	0.589049	1.354029
-3.141593	0.638136	1.410553
-3.141593	0.687223	1.470947
-3.141593	0.736311	1.535066
-3.141593	0.785398	1.602754
-3.141593	0.834486	1.673850
-3.141593	0.883573	1.748181
-3.141593	0.932660	1.825569
-3.141593	0.981748	1.905827
-3.141593	1.030835	1.988762
-3.141593	1.079922	2.074174
-3.141593	1.129010	2.161858
-3.141593	1.178097	2.251601
-3.141593	1.227185	2.343188
-3.141593	1.276272	2.436398
-3.141593	1.325359	2.531007
-3.141593	1.374447	2.626787
-3.141593	1.423534	2.723507
-3.141593	1.472622	2.820933
-3.141593	1.521709	2.918832
-3.141593	1.570796	3.016968
-3.141593	1.619884	3.115103
-3.141593	1.668971	3.213002
-3.141593	1.718058	3.310429
-3.141593	1.767146	3.407148
-3.141593	1.816233	3.502928
-3.141593	1.865321	3.597537
-3.141593	1.914408	3.690747
-3.141593	1.963495	3.782335
-3.141593	2.012583	3.872078
-3.141593	2.061670	3.959761
-3.141593	2.110758	4.045173
-3.141593	2.159845	4.128108
-3.141593	2.208932	4.208366
-3.141593	2.258020	4.285754
-3.141593	2.307107	4.360086
-3.141593	2.356194	4.431181
-3.141593	2.405282	4.498870
-3.141593	2.454369	4.562989
-3.141593	2.503457	4.623383
-3.141593	2.552544	4.679907
-3.141593	2.601631	4.732425
-3.141593	2.650719	4.780810
-3.141593	2.699806	4.824946
-3.141593	2.748894	4.864727
-3.141593	2.797981	4.900056
-3.141593	2.847068	4.930848
-3.141593	2.896156	4.957030
-3.141593	2.945243	4.978538
-3.141593	2.994330	4.995321
-3.141593	3.043418	5.007337
-3.141593	3.092505	5.014559
-3.092505	-3.141593	5.014559
-3.092505	-3.092505	5.012150
-3.092505	-3.043418	5.004928
-3.092505	-2.994330	4.992912
-3.092505	-2.945243	4.976129
-3.092505	-2.896156	4.954621
-3.092505	-2.847068	4.928439
-3.092505	-2.797981	4.897647
-3.092505	-2.748894	4.862318
-3.092505	-2.699806	4.822537
-3.092505	-2.650719	4.778401
-3.092505	-2.601631	4.730016
-3.092505	-2.552544	4.677498
-3.092505	-2.503457	4.620974
-3.092505	-2.454369	4.560580
-3.092505	-2.405282	4.496461
-3.092505	-2.356194	4.428772
-3.092505	-2.307107	4.357677
-3.092505	-2.258020	4.283345
-3.092505	-2.208932	4.205957
-3.092505	-2.159845	4.125699
-3.092505	-2.110758	4.042764
-3.092505	-2.061670	3.957352
-3.092505	-2.012583	3.869669
-3.092505	-1.963495	3.779926
-3.092505	-1.914408	3.688338
-3.092505	-1.865321	3.595128
-3.092505	-1.816233	3.500519
-3.092505	-1.767146	3.404739
-3.092505	-1.718058	3.308020
-3.092505	-1.668971	3.210593
-3.092505	-1.619884	3.112694
-3.092505	-1.570796	3.014559
-3.092505	-1.521709	2.916423
-3.092505	-1.472622	2.818524
-3.092505	-1.423534	2.721098
-3.092505	-1.374447	2.624378
-3.092505	-1.325359	2.528598
-3.092505	-1.276272	2.433989
-3.092505	-1.227185	2.340779
-3.092505	-1.178097	2.249192
-3.092505	-1.129010	2.159448
-3.092505	-1.079922	2.071765
-3.092505	-1.030835	1.986353
-3.092505	-0.981748	1.903418
-3.092505	-0.932660	1.823160
-3.092505	-0.883573	1.745772
-3.092505	-0.834486	1.671441
-3.092505	-0.785398	1.600345
-3.092505	-0.736311	1.532656
-3.092505	-0.687223	1.468538
-3.092505	-0.638136	1.408144
-3.092505	-0.589049	1.351619
-3.092505	-0.539961	1.299101
-3.092505	-0.490874	1.250716
-3.092505	-0.441786	1.206580
-3.092505	-0.392699	1.166800
-3.092505	-0.343612	1.131471
-3.092505	-0.294524	1.100678
-3.092505	-0.245437	1.074496
-3.092505	-0.196350	1.052988
-3.092505	-0.147262	1.036206
-3.092505	-0.098175	1.024189
-3.092505	-0.049087	1.016968
-3.092505	0.000000	1.014559
-3.092505	0.049087	1.016968
-3.092505	0.098175	1.024189
-3.092505	0.147262	1.036206
-3.092505	0.196350	1.052988
-3.092505	0.245437	1.074496
-3.092505	0.294524	1.100678
-3.092505	0.343612	1.131471
-3.092505	0.392699	1.166800
-3.092505	0.441786	1.206580
-3.092505	0.490874	1.250716
-3.092505	0.539961	1.299101
-3.092505	0.589049	1.351619
-3.092505	0.638136	1.408144
-3.092505	0.687223	1.468538
-3.092505	0.736311	1.532656
-3.092505	0.785398	1.600345
-3.092505	0.834486	1.671441
-3.092505	0.883573	1.745772
-3.092505	0.932660	1.823160
-3.092505	0.981748	1.903418
-3.092505	1.030835	1.986353
-3.092505	1.079922	2.071765
-3.092505	1.129010	2.159448
-3.092505	1.178097	2.249192
-3.092505	1.227185	2.340779
-3.092505	1.276272	2.433989
-3.092505	1.325359	2.528598
-3.092505	1.374447	2.624378
-3.092505	1.423534	2.721098
