u	m
3.900000	0.000065
4.000000	0.000145
4.100000	0.000315
4.200000	0.000616
4.300000	0.001267
4.400000	0.002407
4.500000	0.009037
4.600000	0.016852
4.700000	0.029474
4.800000	0.045301
4.900000	0.072005
5.000000	0.089694
5.100000	0.110313
5.200000	0.124163
5.300000	0.132360
5.400000	0.143734
5.500000	0.152618
