kx	ky	energy
-3.141593	-3.141593	11.104980
-3.141593	-3.092505	11.102571
-3.141593	-3.043418	11.095350
-3.141593	-2.994330	11.083333
-3.141593	-2.945243	11.066551
-3.141593	-2.896156	11.045043
-3.141593	-2.847068	11.018861
-3.141593	-2.797981	10.988069
-3.141593	-2.748894	10.952740
-3.141593	-2.699806	10.912959
-3.141593	-2.650719	10.868823
-3.141593	-2.601631	10.820438
-3.141593	-2.552544	10.767920
-3.141593	-2.503457	10.711396
-3.141593	-2.454369	10.651001
-3.141593	-2.405282	10.586883
-3.141593	-2.356194	10.519194
-3.141593	-2.307107	10.448098
-3.141593	-2.258020	10.373767
-3.141593	-2.208932	10.296379
-3.141593	-2.159845	10.216121
-3.141593	-2.110758	10.133186
-3.141593	-2.061670	10.047774
-3.141593	-2.012583	9.960091
-3.141593	-1.963495	9.870347
-3.141593	-1.914408	9.778760
-3.141593	-1.865321	9.685550
-3.141593	-1.816233	9.590941
-3.141593	-1.767146	9.495161
-3.141593	-1.718058	9.398441
-3.141593	-1.668971	9.301015
-3.141593	-1.619884	9.203116
-3.141593	-1.570796	9.104980
-3.141593	-1.521709	9.006845
-3.141593	-1.472622	8.908946
-3.141593	-1.423534	8.811520
-3.141593	-1.374447	8.714800
-3.141593	-1.325359	8.619020
-3.141593	-1.276272	8.524411
-3.141593	-1.227185	8.431201
-3.141593	-1.178097	8.339614
-3.141593	-1.129010	8.249870
-3.141593	-1.079922	8.162187
-3.141593	-1.030835	8.076775
-3.141593	-0.981748	7.993840
-3.141593	-0.932660	7.913582
-3.141593	-0.883573	7.836194
-3.141593	-0.834486	7.761863
-3.141593	-0.785398	7.690767
-3.141593	-0.736311	7.623078
-3.141593	-0.687223	7.558960
-3.141593	-0.638136	7.498565
-3.141593	-0.589049	7.442041
-3.141593	-0.539961	7.389523
-3.141593	-0.490874	7.341138
-3.141593	-0.441786	7.297002
-3.141593	-0.392699	7.257221
-3.141593	-0.343612	7.221892
-3.141593	-0.294524	7.191100
-3.141593	-0.245437	7.164918
-3.141593	-0.196350	7.143410
-3.141593	-0.147262	7.126627
-3.141593	-0.098175	7.114611
-3.141593	-0.049087	7.107390
-3.141593	0.000000	7.104980
-3.141593	0.049087	7.107390
-3.141593	0.098175	7.114611
-3.141593	0.147262	7.126627
-3.141593	0.196350	7.143410
-3.141593	0.245437	7.164918
-3.141593	0.294524	7.191100
-3.141593	0.343612	7.221892
-3.141593	0.392699	7.257221
-3.141593	0.441786	7.297002
-3.141593	0.490874	7.341138
-3.141593	0.539961	7.389523
-3.141593	0.589049	7.442041
-3.141593	0.638136	7.498565
-3.141593	0.687223	7.558960
-3.141593	0.736311	7.623078
-3.141593	0.785398	7.690767
-3.141593	0.834486	7.761863
-3.141593	0.883573	7.836194
-3.141593	0.932660	7.913582
-3.141593	0.981748	7.993840
-3.141593	1.030835	8.076775
-3.141593	1.079922	8.162187
-3.141593	1.129010	8.249870
-3.141593	1.178097	8.339614
-3.141593	1.227185	8.431201
-3.141593	1.276272	8.524411
-3.141593	1.325359	8.619020
-3.141593	1.374447	8.714800
-3.141593	1.423534	8.811520
-3.141593	1.472622	8.908946
-3.141593	1.521709	9.006845
-3.141593	1.570796	9.104980
-3.141593	1.619884	9.203116
-3.141593	1.668971	9.301015
-3.141593	1.718058	9.398441
-3.141593	1.767146	9.495161
-3.141593	1.816233	9.590941
-3.141593	1.865321	9.685550
-3.141593	1.914408	9.778760
-3.141593	1.963495	9.870347
-3.141593	2.012583	9.960091
-3.141593	2.061670	10.047774
-3.141593	2.110758	10.133186
-3.141593	2.159845	10.216121
-3.141593	2.208932	10.296379
-3.141593	2.258020	10.373767
-3.141593	2.307107	10.448098
-3.141593	2.356194	10.519194
-3.141593	2.405282	10.586883
-3.141593	2.454369	10.651001
-3.141593	2.503457	10.711396
-3.141593	2.552544	10.767920
-3.141593	2.601631	10.820438
-3.141593	2.650719	10.868823
-3.141593	2.699806	10.912959
-3.141593	2.748894	10.952740
-3.141593	2.797981	10.988069
-3.141593	2.847068	11.018861
-3.141593	2.896156	11.045043
-3.141593	2.945243	11.066551
-3.141593	2.994330	11.083333
-3.141593	3.043418	11.095350
-3.141593	3.092505	11.102571
-3.092505	-3.141593	11.102571
-3.092505	-3.092505	11.100162
-3.092505	-3.043418	11.092941
-3.092505	-2.994330	11.080924
-3.092505	-2.945243	11.064142
-3.092505	-2.896156	11.042634
-3.092505	-2.847068	11.016452
-3.092505	-2.797981	10.985660
-3.092505	-2.748894	10.950330
-3.092505	-2.699806	10.910550
-3.092505	-2.650719	10.866414
-3.092505	-2.601631	10.818029
-3.092505	-2.552544	10.765511
-3.092505	-2.503457	10.708986
-3.092505	-2.454369	10.648592
-3.092505	-2.405282	10.584474
-3.092505	-2.356194	10.516785
-3.092505	-2.307107	10.445689
-3.092505	-2.258020	10.371358
-3.092505	-2.208932	10.293970
-3.092505	-2.159845	10.213712
-3.092505	-2.110758	10.130777
-3.092505	-2.061670	10.045365
-3.092505	-2.012583	9.957682
-3.092505	-1.963495	9.867938
-3.092505	-1.914408	9.776351
-3.092505	-1.865321	9.683141
-3.092505	-1.816233	9.588532
-3.092505	-1.767146	9.492752
-3.092505	-1.718058	9.396032
-3.092505	-1.668971	9.298606
-3.092505	-1.619884	9.200707
-3.092505	-1.570796	9.102571
-3.092505	-1.521709	9.004436
-3.092505	-1.472622	8.906537
-3.092505	-1.423534	8.809110
-3.092505	-1.374447	8.712391
-3.092505	-1.325359	8.616611
-3.092505	-1.276272	8.522002
-3.092505	-1.227185	8.428792
-3.092505	-1.178097	8.337205
-3.092505	-1.129010	8.247461
-3.092505	-1.079922	8.159778
-3.092505	-1.030835	8.074366
-3.092505	-0.981748	7.991431
-3.092505	-0.932660	7.911173
-3.092505	-0.883573	7.833785
-3.092505	-0.834486	7.759453
-3.092505	-0.785398	7.688358
-3.092505	-0.736311	7.620669
-3.092505	-0.687223	7.556550
-3.092505	-0.638136	7.496156
-3.092505	-0.589049	7.439632
-3.092505	-0.539961	7.387114
-3.092505	-0.490874	7.338729
-3.092505	-0.441786	7.294593
-3.092505	-0.392699	7.254812
-3.092505	-0.343612	7.219483
-3.092505	-0.294524	7.188691
-3.092505	-0.245437	7.162509
-3.092505	-0.196350	7.141001
-3.092505	-0.147262	7.124218
-3.092505	-0.098175	7.112202
-3.092505	-0.049087	7.104980
-3.092505	0.000000	7.102571
-3.092505	0.049087	7.104980
-3.092505	0.098175	7.112202
-3.092505	0.147262	7.124218
-3.092505	0.196350	7.141001
-3.092505	0.245437	7.162509
-3.092505	0.294524	7.188691
-3.092505	0.343612	7.219483
-3.092505	0.392699	7.254812
-3.092505	0.441786	7.294593
