path	fm energy1	fm energy2	fm_ energy1	fm_ energy2	afm energy1	afm energy2
0	7.447968	-0.552032	12.254730	4.254730	9.851349	1.851349
1	7.447365	-0.551430	12.254128	4.255333	9.850747	1.851951
2	7.445558	-0.549623	12.252321	4.257139	9.848940	1.853758
3	7.442548	-0.546613	12.249311	4.260149	9.845930	1.856768
4	7.438337	-0.542402	12.245100	4.264361	9.841718	1.860979
5	7.432927	-0.536992	12.239689	4.269771	9.836308	1.866390
6	7.426321	-0.530385	12.233083	4.276377	9.829702	1.872996
7	7.418523	-0.522588	12.225286	4.284175	9.821904	1.880794
8	7.409538	-0.513603	12.216301	4.293160	9.812919	1.889778
9	7.399372	-0.503437	12.206134	4.303326	9.802753	1.899945
10	7.388030	-0.492095	12.194793	4.314668	9.791411	1.911286
11	7.375520	-0.479585	12.182282	4.327178	9.778901	1.923797
12	7.361848	-0.465913	12.168611	4.340850	9.765230	1.937468
13	7.347024	-0.451089	12.153787	4.355674	9.750405	1.952293
14	7.331056	-0.435121	12.137818	4.371642	9.734437	1.968261
15	7.313953	-0.418018	12.120716	4.388745	9.717334	1.985363
16	7.295727	-0.399792	12.102489	4.406971	9.699108	2.003590
17	7.276387	-0.380452	12.083150	4.426311	9.679768	2.022929
18	7.255946	-0.360011	12.062709	4.446752	9.659327	2.043370
19	7.234416	-0.338481	12.041179	4.468282	9.637797	2.064900
20	7.211810	-0.315875	12.018573	4.490888	9.615191	2.087506
21	7.188142	-0.292206	11.994904	4.514556	9.591523	2.111175
22	7.163425	-0.267490	11.970187	4.539273	9.566806	2.135892
23	7.137675	-0.241740	11.944437	4.565023	9.541056	2.161642
24	7.110907	-0.214972	11.917669	4.591791	9.514288	2.188410
25	7.083137	-0.187202	11.889900	4.619561	9.486519	2.216179
26	7.054383	-0.158448	11.861145	4.648315	9.457764	2.244934
27	7.024660	-0.128725	11.831423	4.678037	9.428042	2.274656
28	6.993988	-0.098053	11.800751	4.708709	9.397370	2.305328
29	6.962385	-0.066450	11.769148	4.740313	9.365767	2.336931
30	6.929870	-0.033935	11.736632	4.772828	9.333251	2.369447
31	6.896462	-0.000527	11.703224	4.806236	9.299843	2.402855
32	6.862181	0.033754	11.668944	4.840517	9.265562	2.437135
33	6.827049	0.068886	11.633811	4.875649	9.230430	2.472268
34	6.791085	0.104850	11.597848	4.911612	9.194467	2.508231
