kx	ky	energy
-3.141593	-3.141593	6.842712
-3.141593	-3.092505	6.840303
-3.141593	-3.043418	6.833082
-3.141593	-2.994330	6.821065
-3.141593	-2.945243	6.804283
-3.141593	-2.896156	6.782775
-3.141593	-2.847068	6.756593
-3.141593	-2.797981	6.725801
-3.141593	-2.748894	6.690471
-3.141593	-2.699806	6.650691
-3.141593	-2.650719	6.606555
-3.141593	-2.601631	6.558170
-3.141593	-2.552544	6.505652
-3.141593	-2.503457	6.449127
-3.141593	-2.454369	6.388733
-3.141593	-2.405282	6.324615
-3.141593	-2.356194	6.256926
-3.141593	-2.307107	6.185830
-3.141593	-2.258020	6.111499
-3.141593	-2.208932	6.034111
-3.141593	-2.159845	5.953853
-3.141593	-2.110758	5.870918
-3.141593	-2.061670	5.785506
-3.141593	-2.012583	5.697823
-3.141593	-1.963495	5.608079
-3.141593	-1.914408	5.516492
-3.141593	-1.865321	5.423282
-3.141593	-1.816233	5.328673
-3.141593	-1.767146	5.232893
-3.141593	-1.718058	5.136173
-3.141593	-1.668971	5.038747
-3.141593	-1.619884	4.940848
-3.141593	-1.570796	4.842712
-3.141593	-1.521709	4.744577
-3.141593	-1.472622	4.646678
-3.141593	-1.423534	4.549251
-3.141593	-1.374447	4.452532
-3.141593	-1.325359	4.356752
-3.141593	-1.276272	4.262143
-3.141593	-1.227185	4.168933
-3.141593	-1.178097	4.077346
-3.141593	-1.129010	3.987602
-3.141593	-1.079922	3.899919
-3.141593	-1.030835	3.814507
-3.141593	-0.981748	3.731572
-3.141593	-0.932660	3.651314
-3.141593	-0.883573	3.573926
-3.141593	-0.834486	3.499594
-3.141593	-0.785398	3.428499
-3.141593	-0.736311	3.360810
-3.141593	-0.687223	3.296691
-3.141593	-0.638136	3.236297
-3.141593	-0.589049	3.179773
-3.141593	-0.539961	3.127255
-3.141593	-0.490874	3.078870
-3.141593	-0.441786	3.034734
-3.141593	-0.392699	2.994953
-3.141593	-0.343612	2.959624
-3.141593	-0.294524	2.928832
