path	fm energy1	fm energy2	fm_ energy1	fm_ energy2	afm energy1	afm energy2
0	7.035675	-0.964325	10.882721	2.882721	8.959198	0.959198
1	7.035073	-0.963723	10.882119	2.883323	8.958596	0.959800
2	7.033266	-0.961916	10.880312	2.885130	8.956789	0.961607
3	7.030256	-0.958906	10.877302	2.888140	8.953779	0.964617
4	7.026045	-0.954694	10.873090	2.892351	8.949567	0.968829
5	7.020634	-0.949284	10.867680	2.897762	8.944157	0.974239
6	7.014028	-0.942678	10.861074	2.904368	8.937551	0.980845
7	7.006230	-0.934880	10.853276	2.912166	8.929753	0.988643
8	6.997246	-0.925896	10.844292	2.921150	8.920769	0.997627
9	6.987079	-0.915729	10.834125	2.931317	8.910602	1.007794
10	6.975738	-0.904387	10.822783	2.942658	8.899261	1.019135
11	6.963227	-0.891877	10.810273	2.955169	8.886750	1.031646
12	6.949556	-0.878206	10.796602	2.968840	8.873079	1.045317
13	6.934731	-0.863381	10.781777	2.983665	8.858254	1.060142
14	6.918763	-0.847413	10.765809	2.999633	8.842286	1.076110
15	6.901661	-0.830311	10.748707	3.016735	8.825184	1.093212
16	6.883434	-0.812084	10.730480	3.034962	8.806957	1.111439
17	6.864095	-0.792744	10.711140	3.054301	8.787618	1.130778
18	6.843654	-0.772304	10.690700	3.074742	8.767177	1.151219
19	6.822124	-0.750774	10.669170	3.096272	8.745647	1.172749
20	6.799518	-0.728167	10.646563	3.118878	8.723041	1.195355
21	6.775849	-0.704499	10.622895	3.142547	8.699372	1.219024
22	6.751132	-0.679782	10.598178	3.167264	8.674655	1.243741
23	6.725382	-0.654032	10.572428	3.193014	8.648905	1.269491
24	6.698614	-0.627264	10.545660	3.219782	8.622137	1.296259
25	6.670845	-0.599495	10.517891	3.247551	8.594368	1.324028
26	6.642090	-0.570740	10.489136	3.276306	8.565613	1.352783
27	6.612368	-0.541018	10.459414	3.306028	8.535891	1.382505
28	6.581696	-0.510346	10.428742	3.336700	8.505219	1.413177
29	6.550093	-0.478743	10.397139	3.368303	8.473616	1.444780
30	6.517577	-0.446227	10.364623	3.400819	8.441100	1.477296
31	6.484169	-0.412819	10.331215	3.434227	8.407692	1.510704
32	6.449889	-0.378539	10.296935	3.468507	8.373412	1.544984
33	6.414756	-0.343406	10.261802	3.503640	8.338279	1.580117
34	6.378793	-0.307443	10.225839	3.539603	8.302316	1.616080
35	6.342021	-0.270671	10.189067	3.576375	8.265544	1.652852
36	6.304462	-0.233112	10.151508	3.613934	8.227985	1.690411
37	6.266138	-0.194788	10.113184	3.652258	8.189661	1.728735
38	6.227074	-0.155724	10.074120	3.691322	8.150597	1.767799
39	6.187291	-0.115941	10.034337	3.731105	8.110814	1.807582
40	6.146816	-0.075465	9.993861	3.771580	8.070338	1.848058
41	6.105670	-0.034320	9.952716	3.812726	8.029193	1.889203
42	6.063881	0.007470	9.910926	3.854515	7.987403	1.930993
43	6.021471	0.049879	9.868517	3.896925	7.944994	1.973402
44	5.978469	0.092882	9.825514	3.939927	7.901991	2.016405
45	5.934898	0.136452	9.781944	3.983498	7.858421	2.059975
46	5.890785	0.180565	9.737831	4.027611	7.814308	2.104088
47	5.846158	0.225192	9.693204	4.072238	7.769681	2.148715
48	5.801042	0.270308	9.648088	4.117354	7.724565	2.193831
49	5.755465	0.315885	9.602511	4.162931	7.678988	2.239408
50	5.709455	0.361895	9.556501	4.208941	7.632978	2.285418
51	5.663039	0.408312	9.510084	4.255357	7.586561	2.331835
52	5.616244	0.455106	9.463290	4.302152	7.539767	2.378629
53	5.569101	0.502250	9.416146	4.349295	7.492624	2.425772
54	5.521635	0.549715	9.368681	4.396761	7.445158	2.473238
55	5.473878	0.597473	9.320923	4.444518	7.397400	2.520996
56	5.425856	0.645494	9.272902	4.492540	7.349379	2.569017
57	5.377599	0.693751	9.224645	4.540797	7.301122	2.617274
58	5.329136	0.742214	9.176182	4.589260	7.252659	2.665737
59	5.280496	0.790854	9.127542	4.637900	7.204019	2.714377
60	5.231709	0.839641	9.078755	4.686687	7.155232	2.763164
61	5.182804	0.888546	9.029850	4.735592	7.106327	2.812069
62	5.133810	0.937540	8.980856	4.784586	7.057333	2.861063
63	5.084758	0.986593	8.931803	4.833638	7.008280	2.910116
64	5.035675	1.035675	8.882721	4.882721	6.959198	2.959198
65	4.986593	1.084758	8.833638	4.931803	6.910116	3.008280
66	4.937540	1.133810	8.784586	4.980856	6.861063	3.057333
67	4.888546	1.182804	8.735592	5.029850	6.812069	3.106327
68	4.839641	1.231709	8.686687	5.078755	6.763164	3.155232
69	4.790854	1.280496	8.637900	5.127542	6.714377	3.204019
70	4.742214	1.329136	8.589260	5.176182	6.665737	3.252659
71	4.693751	1.377599	8.540797	5.224645	6.617274	3.301122
72	4.645494	1.425856	8.492540	5.272902	6.569017	3.349379
73	4.597473	1.473878	8.444518	5.320923	6.520996	3.397400
74	4.549715	1.521635	8.396761	5.368681	6.473238	3.445158
75	4.502250	1.569101	8.349295	5.416146	6.425772	3.492624
76	4.455106	1.616244	8.302152	5.463290	6.378629	3.539767
77	4.408312	1.663039	8.255357	5.510084	6.331835	3.586561
78	4.361895	1.709455	8.208941	5.556501	6.285418	3.632978
79	4.315885	1.755465	8.162931	5.602511	6.239408	3.678988
80	4.270308	1.801042	8.117354	5.648088	6.193831	3.724565
81	4.225192	1.846158	8.072238	5.693204	6.148715	3.769681
82	4.180565	1.890785	8.027611	5.737831	6.104088	3.814308
83	4.136452	1.934898	7.983498	5.781944	6.059975	3.858421
84	4.092882	1.978469	7.939927	5.825514	6.016405	3.901991
85	4.049879	2.021471	7.896925	5.868517	5.973402	3.944994
86	4.007470	2.063881	7.854515	5.910926	5.930993	3.987403
87	3.965680	2.105670	7.812726	5.952716	5.889203	4.029193
88	3.924535	2.146816	7.771580	5.993861	5.848058	4.070338
89	3.884059	2.187291	7.731105	6.034337	5.807582	4.110814
90	3.844276	2.227074	7.691322	6.074120	5.767799	4.150597
91	3.805212	2.266138	7.652258	6.113184	5.728735	4.189661
92	3.766888	2.304462	7.613934	6.151508	5.690411	4.227985
93	3.729329	2.342021	7.576375	6.189067	5.652852	4.265544
94	3.692557	2.378793	7.539603	6.225839	5.616080	4.302316
95	3.656594	2.414756	7.503640	6.261802	5.580117	4.338279
96	3.621461	2.449889	7.468507	6.296935	5.544984	4.373412
97	3.587181	2.484169	7.434227	6.331215	5.510704	4.407692
98	3.553773	2.517577	7.400819	6.364623	5.477296	4.441100
99	3.521257	2.550093	7.368303	6.397139	5.444780	4.473616
100	3.489654	2.581696	7.336700	6.428742	5.413177	4.505219
101	3.458982	2.612368	7.306028	6.459414	5.382505	4.535891
102	3.429260	2.642090	7.276306	6.489136	5.352783	4.565613
103	3.400505	2.670845	7.247551	6.517891	5.324028	4.594368
104	3.372736	2.698614	7.219782	6.545660	5.296259	4.622137
105	3.345968	2.725382	7.193014	6.572428	5.269491	4.648905
106	3.320218	2.751132	7.167264	6.598178	5.243741	4.674655
107	3.295501	2.775849	7.142547	6.622895	5.219024	4.699372
108	3.271833	2.799518	7.118878	6.646563	5.195355	4.723041
109	3.249226	2.822124	7.096272	6.669170	5.172749	4.745647
110	3.227696	2.843654	7.074742	6.690700	5.151219	4.767177
111	3.207256	2.864095	7.054301	6.711140	5.130778	4.787618
112	3.187916	2.883434	7.034962	6.730480	5.111439	4.806957
113	3.169689	2.901661	7.016735	6.748707	5.093212	4.825184
114	3.152587	2.918763	6.999633	6.765809	5.076110	4.842286
115	3.136619	2.934731	6.983665	6.781777	5.060142	4.858254
116	3.121794	2.949556	6.968840	6.796602	5.045317	4.873079
117	3.108123	2.963227	6.955169	6.810273	5.031646	4.886750
118	3.095613	2.975738	6.942658	6.822783	5.019135	4.899261
119	3.084271	2.987079	6.931317	6.834125	5.007794	4.910602
120	3.074104	2.997246	6.921150	6.844292	4.997627	4.920769
121	3.065120	3.006230	6.912166	6.853276	4.988643	4.929753
122	3.057322	3.014028	6.904368	6.861074	4.980845	4.937551
123	3.050716	3.020634	6.897762	6.867680	4.974239	4.944157
124	3.045306	3.026045	6.892351	6.873090	4.968829	4.949567
125	3.041094	3.030256	6.888140	6.877302	4.964617	4.953779
126	3.038084	3.033266	6.885130	6.880312	4.961607	4.956789
127	3.036277	3.035073	6.883323	6.882119	4.959800	4.958596
128	3.035675	3.035675	6.882721	6.882721	4.959198	4.959198
129	3.035073	3.036277	6.882119	6.883323	4.958596	4.959800
130	3.033266	3.038084	6.880312	6.885130	4.961607	4.956789
131	3.030256	3.041094	6.877302	6.888140	4.953779	4.964617
132	3.045306	3.026045	6.873090	6.892351	4.968829	4.949567
133	3.050716	3.020634	6.867680	6.897762	4.944157	4.974239
134	3.057322	3.014028	6.861074	6.904368	4.937551	4.980845
135	3.065120	3.006230	6.912166	6.853276	4.988643	4.929753
136	3.074104	2.997246	6.921150	6.844292	4.997627	4.920769
137	3.084271	2.987079	6.931317	6.834125	5.007794	4.910602
138	3.095613	2.975738	6.942658	6.822783	5.019135	4.899261
139	3.108123	2.963227	6.955169	6.810273	5.031646	4.886750
140	2.949556	3.121794	6.796602	6.968840	4.873079	5.045317
141	3.136619	2.934731	6.983665	6.781777	5.060142	4.858254
142	3.152587	2.918763	6.999633	6.765809	5.076110	4.842286
143	3.169689	2.901661	7.016735	6.748707	5.093212	4.825184
