path	fm energy1	fm energy2	fm_ energy1	fm_ energy2	afm energy1	afm energy2
0	6.628754	-1.371246	9.490692	1.490692	0.050616	8.068829
1	6.628151	-1.370644	9.490090	1.491295	0.051217	8.068228
2	6.626345	-1.368837	9.488283	1.493101	0.053020	8.066426
3	6.623335	-1.365827	9.485273	1.496111	0.056023	8.063423
4	6.619123	-1.361616	9.481062	1.500323	0.060225	8.059221
5	6.613713	-1.356205	9.475651	1.505733	0.065623	8.053823
6	6.607107	-1.349599	9.469045	1.512339	0.072214	8.047232
7	6.599309	-1.341802	9.461247	1.520137	0.079994	8.039452
8	6.590324	-1.332817	9.452263	1.529122	0.088958	8.030488
9	6.580158	-1.322651	9.442096	1.539288	0.099100	8.020345
10	6.568816	-1.311309	9.430755	1.550630	0.110416	8.009030
11	6.556306	-1.298798	9.418244	1.563140	0.122897	7.996549
12	6.542634	-1.285127	9.404573	1.576811	0.136536	7.982910
13	6.527810	-1.270303	9.389748	1.591636	0.151325	7.968121
14	6.511842	-1.254334	9.373780	1.607604	0.167255	7.952191
15	6.494739	-1.237232	9.356678	1.624707	0.184316	7.935130
16	6.476513	-1.219005	9.338451	1.642933	0.202498	7.916948
17	6.457173	-1.199666	9.319112	1.662273	0.221790	7.897656
18	6.436732	-1.179225	9.298671	1.682714	0.242180	7.877266
19	6.415202	-1.157695	9.277141	1.704244	0.263655	7.855790
20	6.392596	-1.135089	9.254535	1.726850	0.286204	7.833242
21	6.368928	-1.111420	9.230866	1.750518	0.309811	7.809634
22	6.344211	-1.086704	9.206149	1.775235	0.334463	7.784982
23	6.318461	-1.060953	9.180399	1.800985	0.360145	7.759300
24	6.291693	-1.034186	9.153631	1.827753	0.386841	7.732604
25	6.263923	-1.006416	9.125862	1.855523	0.414535	7.704911
26	6.235169	-0.977661	9.097107	1.884277	0.443210	7.676236
27	6.205447	-0.947939	9.067385	1.913999	0.472849	7.646597
28	6.174775	-0.917267	9.036713	1.944671	0.503433	7.616013
