path	energy1	energy2	mu
900	0.397525	8.397525	5.258000
901	0.398512	8.396538	5.258000
902	0.401472	8.393578	5.258000
903	0.406401	8.388649	5.258000
904	0.413296	8.381754	5.258000
905	0.422148	8.372902	5.258000
906	0.432950	8.362100	5.258000
907	0.445691	8.349359	5.258000
908	0.460359	8.334691	5.258000
909	0.476938	8.318112	5.258000
910	0.495412	8.299638	5.258000
911	0.515763	8.279287	5.258000
912	0.537972	8.257078	5.258000
913	0.562016	8.233034	5.258000
914	0.587871	8.207179	5.258000
915	0.615512	8.179538	5.258000
916	0.644912	8.150138	5.258000
917	0.676041	8.119009	5.258000
918	0.708869	8.086181	5.258000
919	0.743364	8.051686	5.258000
920	0.779491	8.015559	5.258000
921	0.817215	7.977835	5.258000
922	0.856499	7.938551	5.258000
923	0.897303	7.897747	5.258000
924	0.939588	7.855462	5.258000
925	0.983311	7.811739	5.258000
926	1.028431	7.766619	5.258000
927	1.074901	7.720149	5.258000
928	1.122677	7.672373	5.258000
929	1.171711	7.623339	5.258000
930	1.221954	7.573096	5.258000
931	1.273358	7.521692	5.258000
932	1.325871	7.469179	5.258000
933	1.379442	7.415608	5.258000
934	1.434018	7.361032	5.258000
935	1.489544	7.305506	5.258000
936	1.545966	7.249084	5.258000
937	1.603229	7.191821	5.258000
938	1.661276	7.133774	5.258000
939	1.720049	7.075001	5.258000
940	1.779491	7.015559	5.258000
941	1.839543	6.955507	5.258000
942	1.900145	6.894905	5.258000
943	1.961239	6.833811	5.258000
944	2.022762	6.772288	5.258000
945	2.084656	6.710394	5.258000
946	2.146859	6.648191	5.258000
947	2.209308	6.585742	5.258000
948	2.271944	6.523106	5.258000
949	2.334703	6.460347	5.258000
950	2.397525	6.397525	5.258000
951	2.460347	6.334703	5.258000
952	2.523106	6.271944	5.258000
953	2.585742	6.209308	5.258000
954	2.648191	6.146859	5.258000
955	2.710394	6.084656	5.258000
956	2.772288	6.022762	5.258000
957	2.833811	5.961239	5.258000
958	2.894905	5.900145	5.258000
959	2.955507	5.839543	5.258000
960	3.015559	5.779491	5.258000
961	3.075001	5.720049	5.258000
962	3.133774	5.661276	5.258000
963	3.191821	5.603229	5.258000
964	3.249084	5.545966	5.258000
965	3.305506	5.489544	5.258000
966	3.361032	5.434018	5.258000
967	3.415608	5.379442	5.258000
968	3.469179	5.325871	5.258000
969	3.521692	5.273358	5.258000
970	3.573096	5.221954	5.258000
971	3.623339	5.171711	5.258000
972	3.672373	5.122677	5.258000
973	3.720149	5.074901	5.258000
974	3.766619	5.028431	5.258000
975	3.811739	4.983311	5.258000
976	3.855462	4.939588	5.258000
977	3.897747	4.897303	5.258000
978	3.938551	4.856499	5.258000
979	3.977835	4.817215	5.258000
980	4.015559	4.779491	5.258000
981	4.051686	4.743364	5.258000
982	4.086181	4.708869	5.258000
983	4.119009	4.676041	5.258000
984	4.150138	4.644912	5.258000
985	4.179538	4.615512	5.258000
986	4.207179	4.587871	5.258000
987	4.233034	4.562016	5.258000
988	4.257078	4.537972	5.258000
989	4.279287	4.515763	5.258000
990	4.299638	4.495412	5.258000
991	4.318112	4.476938	5.258000
992	4.334691	4.460359	5.258000
993	4.349359	4.445691	5.258000
994	4.362100	4.432950	5.258000
995	4.372902	4.422148	5.258000
996	4.381754	4.413296	5.258000
997	4.388649	4.406401	5.258000
998	4.393578	4.401472	5.258000
999	4.396538	4.398512	5.258000
1000	4.397525	4.397525	5.258000
1001	4.396538	4.398512	5.258000
1002	4.393578	4.401472	5.258000
1003	4.388649	4.406401	5.258000
1004	4.381754	4.413296	5.258000
1005	4.372902	4.422148	5.258000
1006	4.362100	4.432950	5.258000
1007	4.349359	4.445691	5.258000
1008	4.334691	4.460359	5.258000
1009	4.318112	4.476938	5.258000
1010	4.299638	4.495412	5.258000
1011	4.279287	4.515763	5.258000
1012	4.257078	4.537972	5.258000
1013	4.233034	4.562016	5.258000
1014	4.207179	4.587871	5.258000
1015	4.179538	4.615512	5.258000
1016	4.150138	4.644912	5.258000
1017	4.119009	4.676041	5.258000
1018	4.086181	4.708869	5.258000
1019	4.051686	4.743364	5.258000
1020	4.015559	4.779491	5.258000
1021	3.977835	4.817215	5.258000
1022	3.938551	4.856499	5.258000
1023	3.897747	4.897303	5.258000
1024	3.855462	4.939588	5.258000
1025	3.811739	4.983311	5.258000
1026	3.766619	5.028431	5.258000
1027	3.720149	5.074901	5.258000
1028	3.672373	5.122677	5.258000
1029	3.623339	5.171711	5.258000
1030	3.573096	5.221954	5.258000
1031	3.521692	5.273358	5.258000
1032	3.469179	5.325871	5.258000
1033	3.415608	5.379442	5.258000
1034	3.361032	5.434018	5.258000
1035	3.305506	5.489544	5.258000
1036	3.249084	5.545966	5.258000
1037	3.191821	5.603229	5.258000
1038	3.133774	5.661276	5.258000
1039	3.075001	5.720049	5.258000
1040	3.015559	5.779491	5.258000
1041	2.955507	5.839543	5.258000
1042	2.894905	5.900145	5.258000
1043	2.833811	5.961239	5.258000
1044	2.772288	6.022762	5.258000
1045	2.710394	6.084656	5.258000
1046	2.648191	6.146859	5.258000
1047	2.585742	6.209308	5.258000
1048	2.523106	6.271944	5.258000
1049	2.460347	6.334703	5.258000
1050	2.397525	6.397525	5.258000
1051	2.334703	6.460347	5.258000
1052	2.271944	6.523106	5.258000
1053	2.209308	6.585742	5.258000
1054	2.146859	6.648191	5.258000
1055	2.084656	6.710394	5.258000
1056	2.022762	6.772288	5.258000
1057	1.961239	6.833811	5.258000
1058	1.900145	6.894905	5.258000
1059	1.839543	6.955507	5.258000
1060	1.779491	7.015559	5.258000
1061	1.720049	7.075001	5.258000
1062	1.661276	7.133774	5.258000
1063	1.603229	7.191821	5.258000
1064	1.545966	7.249084	5.258000
1065	1.489544	7.305506	5.258000
1066	1.434018	7.361032	5.258000
1067	1.379442	7.415608	5.258000
1068	1.325871	7.469179	5.258000
1069	1.273358	7.521692	5.258000
1070	1.221954	7.573096	5.258000
1071	1.171711	7.623339	5.258000
1072	1.122677	7.672373	5.258000
1073	1.074901	7.720149	5.258000
1074	1.028431	7.766619	5.258000
1075	0.983311	7.811739	5.258000
1076	0.939588	7.855462	5.258000
1077	0.897303	7.897747	5.258000
1078	0.856499	7.938551	5.258000
1079	0.817215	7.977835	5.258000
1080	0.779491	8.015559	5.258000
1081	0.743364	8.051686	5.258000
1082	0.708869	8.086181	5.258000
1083	0.676041	8.119009	5.258000
1084	0.644912	8.150138	5.258000
1085	0.615512	8.179538	5.258000
1086	0.587871	8.207179	5.258000
1087	0.562016	8.233034	5.258000
1088	0.537972	8.257078	5.258000
1089	0.515763	8.279287	5.258000
1090	0.495412	8.299638	5.258000
1091	0.476938	8.318112	5.258000
1092	0.460359	8.334691	5.258000
1093	0.445691	8.349359	5.258000
1094	0.432950	8.362100	5.258000
1095	0.422148	8.372902	5.258000
1096	0.413296	8.381754	5.258000
1097	0.406401	8.388649	5.258000
1098	0.401472	8.393578	5.258000
1099	0.398512	8.396538	5.258000
1100	0.398018	8.397032	5.258000
1101	0.399992	8.395058	5.258000
1102	0.405911	8.389139	5.258000
1103	0.415768	8.379282	5.258000
1104	0.429556	8.365494	5.258000
1105	0.447259	8.347791	5.258000
1106	0.468861	8.326189	5.258000
1107	0.494340	8.300710	5.258000
1108	0.523670	8.271380	5.258000
1109	0.556824	8.238226	5.258000
1110	0.593768	8.201282	5.258000
1111	0.634466	8.160584	5.258000
1112	0.678878	8.116172	5.258000
1113	0.726959	8.068091	5.258000
1114	0.778663	8.016387	5.258000
1115	0.833939	7.961111	5.258000
1116	0.892731	7.902319	5.258000
1117	0.954982	7.840068	5.258000
1118	1.020630	7.774420	5.258000
1119	1.089611	7.705439	5.258000
1120	1.161856	7.633194	5.258000
1121	1.237295	7.557755	5.258000
1122	1.315852	7.479198	5.258000
1123	1.397451	7.397599	5.258000
1124	1.482010	7.313040	5.258000
1125	1.569447	7.225603	5.258000
1126	1.659674	7.135376	5.258000
1127	1.752604	7.042446	5.258000
1128	1.848144	6.946906	5.258000
1129	1.946199	6.848851	5.258000
1130	2.046674	6.748376	5.258000
1131	2.149469	6.645581	5.258000
1132	2.254482	6.540568	5.258000
1133	2.361611	6.433439	5.258000
1134	2.470748	6.324302	5.258000
1135	2.581787	6.213263	5.258000
1136	2.694618	6.100432	5.258000
1137	2.809129	5.985921	5.258000
1138	2.925208	5.869842	5.258000
1139	3.042740	5.752310	5.258000
1140	3.161610	5.633440	5.258000
1141	3.281698	5.513352	5.258000
1142	3.402888	5.392162	5.258000
1143	3.525060	5.269990	5.258000
1144	3.648092	5.146958	5.258000
1145	3.771864	5.023186	5.258000
1146	3.896254	4.898796	5.258000
1147	4.021138	4.773912	5.258000
1148	4.146394	4.648656	5.258000
1149	4.271897	4.523153	5.258000
1150	4.397525	4.397525	5.258000
1151	4.271897	4.523153	5.258000
1152	4.146394	4.648656	5.258000
1153	4.021138	4.773912	5.258000
1154	3.896254	4.898796	5.258000
1155	3.771864	5.023186	5.258000
1156	3.648092	5.146958	5.258000
1157	3.525060	5.269990	5.258000
1158	3.402888	5.392162	5.258000
1159	3.281698	5.513352	5.258000
1160	3.161610	5.633440	5.258000
1161	3.042740	5.752310	5.258000
1162	2.925208	5.869842	5.258000
1163	2.809129	5.985921	5.258000
1164	2.694618	6.100432	5.258000
1165	2.581787	6.213263	5.258000
1166	2.470748	6.324302	5.258000
1167	2.361611	6.433439	5.258000
1168	2.254482	6.540568	5.258000
1169	2.149469	6.645581	5.258000
1170	2.046674	6.748376	5.258000
1171	1.946199	6.848851	5.258000
1172	1.848144	6.946906	5.258000
1173	1.752604	7.042446	5.258000
1174	1.659674	7.135376	5.258000
1175	1.569447	7.225603	5.258000
1176	1.482010	7.313040	5.258000
1177	1.397451	7.397599	5.258000
1178	1.315852	7.479198	5.258000
1179	1.237295	7.557755	5.258000
1180	1.161856	7.633194	5.258000
1181	1.089611	7.705439	5.258000
1182	1.020630	7.774420	5.258000
1183	0.954982	7.840068	5.258000
1184	0.892731	7.902319	5.258000
1185	0.833939	7.961111	5.258000
1186	0.778663	8.016387	5.258000
1187	0.726959	8.068091	5.258000
1188	0.678878	8.116172	5.258000
1189	0.634466	8.160584	5.258000
1190	0.593768	8.201282	5.258000
1191	0.556824	8.238226	5.258000
1192	0.523670	8.271380	5.258000
1193	0.494340	8.300710	5.258000
1194	0.468861	8.326189	5.258000
1195	0.447259	8.347791	5.258000
1196	0.429556	8.365494	5.258000
1197	0.415768	8.379282	5.258000
1198	0.405911	8.389139	5.258000
1199	0.399992	8.395058	5.258000
