kx	ky	energy
-3.141593	-3.141593	8.005981
-3.141593	-3.092505	8.003572
-3.141593	-3.043418	7.996351
-3.141593	-2.994330	7.984334
-3.141593	-2.945243	7.967552
-3.141593	-2.896156	7.946044
-3.141593	-2.847068	7.919862
-3.141593	-2.797981	7.889070
-3.141593	-2.748894	7.853741
-3.141593	-2.699806	7.813960
-3.141593	-2.650719	7.769824
-3.141593	-2.601631	7.721439
-3.141593	-2.552544	7.668921
-3.141593	-2.503457	7.612397
-3.141593	-2.454369	7.552002
-3.141593	-2.405282	7.487884
-3.141593	-2.356194	7.420195
-3.141593	-2.307107	7.349099
-3.141593	-2.258020	7.274768
-3.141593	-2.208932	7.197380
-3.141593	-2.159845	7.117122
-3.141593	-2.110758	7.034187
-3.141593	-2.061670	6.948775
-3.141593	-2.012583	6.861092
-3.141593	-1.963495	6.771348
-3.141593	-1.914408	6.679761
-3.141593	-1.865321	6.586551
-3.141593	-1.816233	6.491942
-3.141593	-1.767146	6.396162
-3.141593	-1.718058	6.299442
-3.141593	-1.668971	6.202016
-3.141593	-1.619884	6.104117
-3.141593	-1.570796	6.005981
-3.141593	-1.521709	5.907846
-3.141593	-1.472622	5.809947
-3.141593	-1.423534	5.712520
-3.141593	-1.374447	5.615801
-3.141593	-1.325359	5.520021
-3.141593	-1.276272	5.425412
-3.141593	-1.227185	5.332202
-3.141593	-1.178097	5.240615
-3.141593	-1.129010	5.150871
-3.141593	-1.079922	5.063188
-3.141593	-1.030835	4.977776
-3.141593	-0.981748	4.894841
-3.141593	-0.932660	4.814583
-3.141593	-0.883573	4.737195
-3.141593	-0.834486	4.662864
-3.141593	-0.785398	4.591768
-3.141593	-0.736311	4.524079
-3.141593	-0.687223	4.459961
-3.141593	-0.638136	4.399566
-3.141593	-0.589049	4.343042
-3.141593	-0.539961	4.290524
-3.141593	-0.490874	4.242139
-3.141593	-0.441786	4.198003
-3.141593	-0.392699	4.158222
-3.141593	-0.343612	4.122893
-3.141593	-0.294524	4.092101
-3.141593	-0.245437	4.065919
-3.141593	-0.196350	4.044411
-3.141593	-0.147262	4.027628
-3.141593	-0.098175	4.015612
-3.141593	-0.049087	4.008391
-3.141593	0.000000	4.005981
-3.141593	0.049087	4.008391
-3.141593	0.098175	4.015612
-3.141593	0.147262	4.027628
-3.141593	0.196350	4.044411
-3.141593	0.245437	4.065919
-3.141593	0.294524	4.092101
-3.141593	0.343612	4.122893
-3.141593	0.392699	4.158222
-3.141593	0.441786	4.198003
-3.141593	0.490874	4.242139
-3.141593	0.539961	4.290524
-3.141593	0.589049	4.343042
-3.141593	0.638136	4.399566
-3.141593	0.687223	4.459961
-3.141593	0.736311	4.524079
-3.141593	0.785398	4.591768
-3.141593	0.834486	4.662864
-3.141593	0.883573	4.737195
-3.141593	0.932660	4.814583
-3.141593	0.981748	4.894841
-3.141593	1.030835	4.977776
-3.141593	1.079922	5.063188
-3.141593	1.129010	5.150871
-3.141593	1.178097	5.240615
-3.141593	1.227185	5.332202
-3.141593	1.276272	5.425412
-3.141593	1.325359	5.520021
-3.141593	1.374447	5.615801
-3.141593	1.423534	5.712520
-3.141593	1.472622	5.809947
-3.141593	1.521709	5.907846
-3.141593	1.570796	6.005981
-3.141593	1.619884	6.104117
-3.141593	1.668971	6.202016
-3.141593	1.718058	6.299442
-3.141593	1.767146	6.396162
-3.141593	1.816233	6.491942
-3.141593	1.865321	6.586551
-3.141593	1.914408	6.679761
-3.141593	1.963495	6.771348
-3.141593	2.012583	6.861092
-3.141593	2.061670	6.948775
-3.141593	2.110758	7.034187
-3.141593	2.159845	7.117122
-3.141593	2.208932	7.197380
-3.141593	2.258020	7.274768
-3.141593	2.307107	7.349099
-3.141593	2.356194	7.420195
-3.141593	2.405282	7.487884
-3.141593	2.454369	7.552002
-3.141593	2.503457	7.612397
-3.141593	2.552544	7.668921
-3.141593	2.601631	7.721439
-3.141593	2.650719	7.769824
-3.141593	2.699806	7.813960
-3.141593	2.748894	7.853741
-3.141593	2.797981	7.889070
-3.141593	2.847068	7.919862
-3.141593	2.896156	7.946044
-3.141593	2.945243	7.967552
-3.141593	2.994330	7.984334
-3.141593	3.043418	7.996351
-3.141593	3.092505	8.003572
-3.092505	-3.141593	8.003572
-3.092505	-3.092505	8.001163
-3.092505	-3.043418	7.993942
-3.092505	-2.994330	7.981925
-3.092505	-2.945243	7.965143
-3.092505	-2.896156	7.943635
-3.092505	-2.847068	7.917453
-3.092505	-2.797981	7.886660
-3.092505	-2.748894	7.851331
-3.092505	-2.699806	7.811551
-3.092505	-2.650719	7.767415
-3.092505	-2.601631	7.719030
-3.092505	-2.552544	7.666512
-3.092505	-2.503457	7.609987
-3.092505	-2.454369	7.549593
-3.092505	-2.405282	7.485475
-3.092505	-2.356194	7.417786
-3.092505	-2.307107	7.346690
-3.092505	-2.258020	7.272359
-3.092505	-2.208932	7.194971
-3.092505	-2.159845	7.114713
-3.092505	-2.110758	7.031778
-3.092505	-2.061670	6.946366
-3.092505	-2.012583	6.858683
-3.092505	-1.963495	6.768939
-3.092505	-1.914408	6.677352
-3.092505	-1.865321	6.584142
-3.092505	-1.816233	6.489533
-3.092505	-1.767146	6.393753
-3.092505	-1.718058	6.297033
-3.092505	-1.668971	6.199607
-3.092505	-1.619884	6.101708
-3.092505	-1.570796	6.003572
-3.092505	-1.521709	5.905437
-3.092505	-1.472622	5.807538
-3.092505	-1.423534	5.710111
-3.092505	-1.374447	5.613392
-3.092505	-1.325359	5.517612
-3.092505	-1.276272	5.423003
-3.092505	-1.227185	5.329793
-3.092505	-1.178097	5.238205
-3.092505	-1.129010	5.148462
-3.092505	-1.079922	5.060779
-3.092505	-1.030835	4.975367
-3.092505	-0.981748	4.892432
-3.092505	-0.932660	4.812174
-3.092505	-0.883573	4.734786
-3.092505	-0.834486	4.660454
-3.092505	-0.785398	4.589359
-3.092505	-0.736311	4.521670
-3.092505	-0.687223	4.457551
-3.092505	-0.638136	4.397157
-3.092505	-0.589049	4.340633
-3.092505	-0.539961	4.288115
-3.092505	-0.490874	4.239730
-3.092505	-0.441786	4.195594
-3.092505	-0.392699	4.155813
-3.092505	-0.343612	4.120484
-3.092505	-0.294524	4.089692
-3.092505	-0.245437	4.063510
-3.092505	-0.196350	4.042002
-3.092505	-0.147262	4.025219
-3.092505	-0.098175	4.013203
-3.092505	-0.049087	4.005981
-3.092505	0.000000	4.003572
-3.092505	0.049087	4.005981
-3.092505	0.098175	4.013203
-3.092505	0.147262	4.025219
-3.092505	0.196350	4.042002
-3.092505	0.245437	4.063510
-3.092505	0.294524	4.089692
-3.092505	0.343612	4.120484
-3.092505	0.392699	4.155813
-3.092505	0.441786	4.195594
-3.092505	0.490874	4.239730
-3.092505	0.539961	4.288115
-3.092505	0.589049	4.340633
-3.092505	0.638136	4.397157
-3.092505	0.687223	4.457551
-3.092505	0.736311	4.521670
-3.092505	0.785398	4.589359
-3.092505	0.834486	4.660454
-3.092505	0.883573	4.734786
-3.092505	0.932660	4.812174
-3.092505	0.981748	4.892432
-3.092505	1.030835	4.975367
-3.092505	1.079922	5.060779
-3.092505	1.129010	5.148462
-3.092505	1.178097	5.238205
-3.092505	1.227185	5.329793
-3.092505	1.276272	5.423003
-3.092505	1.325359	5.517612
-3.092505	1.374447	5.613392
-3.092505	1.423534	5.710111
-3.092505	1.472622	5.807538
-3.092505	1.521709	5.905437
-3.092505	1.570796	6.003572
-3.092505	1.619884	6.101708
-3.092505	1.668971	6.199607
-3.092505	1.718058	6.297033
-3.092505	1.767146	6.393753
-3.092505	1.816233	6.489533
-3.092505	1.865321	6.584142
-3.092505	1.914408	6.677352
-3.092505	1.963495	6.768939
-3.092505	2.012583	6.858683
-3.092505	2.061670	6.946366
-3.092505	2.110758	7.031778
-3.092505	2.159845	7.114713
-3.092505	2.208932	7.194971
-3.092505	2.258020	7.272359
-3.092505	2.307107	7.346690
-3.092505	2.356194	7.417786
-3.092505	2.405282	7.485475
-3.092505	2.454369	7.549593
-3.092505	2.503457	7.609987
-3.092505	2.552544	7.666512
-3.092505	2.601631	7.719030
-3.092505	2.650719	7.767415
-3.092505	2.699806	7.811551
-3.092505	2.748894	7.851331
-3.092505	2.797981	7.886660
-3.092505	2.847068	7.917453
-3.092505	2.896156	7.943635
-3.092505	2.945243	7.965143
-3.092505	2.994330	7.981925
-3.092505	3.043418	7.993942
-3.092505	3.092505	8.001163
-3.043418	-3.141593	7.996351
-3.043418	-3.092505	7.993942
-3.043418	-3.043418	7.986720
-3.043418	-2.994330	7.974704
-3.043418	-2.945243	7.957921
-3.043418	-2.896156	7.936413
-3.043418	-2.847068	7.910232
-3.043418	-2.797981	7.879439
-3.043418	-2.748894	7.844110
-3.043418	-2.699806	7.804329
-3.043418	-2.650719	7.760193
-3.043418	-2.601631	7.711808
-3.043418	-2.552544	7.659290
-3.043418	-2.503457	7.602766
-3.043418	-2.454369	7.542372
-3.043418	-2.405282	7.478253
-3.043418	-2.356194	7.410564
-3.043418	-2.307107	7.339469
-3.043418	-2.258020	7.265137
-3.043418	-2.208932	7.187750
-3.043418	-2.159845	7.107491
-3.043418	-2.110758	7.024556
-3.043418	-2.061670	6.939144
-3.043418	-2.012583	6.851461
-3.043418	-1.963495	6.761718
-3.043418	-1.914408	6.670131
-3.043418	-1.865321	6.576920
-3.043418	-1.816233	6.482311
-3.043418	-1.767146	6.386532
-3.043418	-1.718058	6.289812
-3.043418	-1.668971	6.192385
-3.043418	-1.619884	6.094486
-3.043418	-1.570796	5.996351
-3.043418	-1.521709	5.898216
-3.043418	-1.472622	5.800317
-3.043418	-1.423534	5.702890
-3.043418	-1.374447	5.606170
-3.043418	-1.325359	5.510391
-3.043418	-1.276272	5.415782
-3.043418	-1.227185	5.322571
-3.043418	-1.178097	5.230984
-3.043418	-1.129010	5.141241
-3.043418	-1.079922	5.053557
-3.043418	-1.030835	4.968145
-3.043418	-0.981748	4.885210
-3.043418	-0.932660	4.804952
-3.043418	-0.883573	4.727564
-3.043418	-0.834486	4.653233
-3.043418	-0.785398	4.582137
-3.043418	-0.736311	4.514449
-3.043418	-0.687223	4.450330
-3.043418	-0.638136	4.389936
-3.043418	-0.589049	4.333412
-3.043418	-0.539961	4.280894
-3.043418	-0.490874	4.232508
-3.043418	-0.441786	4.188372
-3.043418	-0.392699	4.148592
-3.043418	-0.343612	4.113263
-3.043418	-0.294524	4.082470
-3.043418	-0.245437	4.056288
-3.043418	-0.196350	4.034780
-3.043418	-0.147262	4.017998
-3.043418	-0.098175	4.005981
-3.043418	-0.049087	3.998760
-3.043418	0.000000	3.996351
-3.043418	0.049087	3.998760
-3.043418	0.098175	4.005981
-3.043418	0.147262	4.017998
-3.043418	0.196350	4.034780
-3.043418	0.245437	4.056288
-3.043418	0.294524	4.082470
-3.043418	0.343612	4.113263
-3.043418	0.392699	4.148592
-3.043418	0.441786	4.188372
-3.043418	0.490874	4.232508
-3.043418	0.539961	4.280894
-3.043418	0.589049	4.333412
-3.043418	0.638136	4.389936
-3.043418	0.687223	4.450330
-3.043418	0.736311	4.514449
-3.043418	0.785398	4.582137
-3.043418	0.834486	4.653233
-3.043418	0.883573	4.727564
-3.043418	0.932660	4.804952
-3.043418	0.981748	4.885210
-3.043418	1.030835	4.968145
-3.043418	1.079922	5.053557
-3.043418	1.129010	5.141241
-3.043418	1.178097	5.230984
-3.043418	1.227185	5.322571
-3.043418	1.276272	5.415782
-3.043418	1.325359	5.510391
-3.043418	1.374447	5.606170
-3.043418	1.423534	5.702890
-3.043418	1.472622	5.800317
-3.043418	1.521709	5.898216
-3.043418	1.570796	5.996351
-3.043418	1.619884	6.094486
-3.043418	1.668971	6.192385
-3.043418	1.718058	6.289812
-3.043418	1.767146	6.386532
-3.043418	1.816233	6.482311
-3.043418	1.865321	6.576920
-3.043418	1.914408	6.670131
-3.043418	1.963495	6.761718
-3.043418	2.012583	6.851461
-3.043418	2.061670	6.939144
-3.043418	2.110758	7.024556
-3.043418	2.159845	7.107491
-3.043418	2.208932	7.187750
-3.043418	2.258020	7.265137
-3.043418	2.307107	7.339469
-3.043418	2.356194	7.410564
-3.043418	2.405282	7.478253
-3.043418	2.454369	7.542372
-3.043418	2.503457	7.602766
-3.043418	2.552544	7.659290
-3.043418	2.601631	7.711808
-3.043418	2.650719	7.760193
-3.043418	2.699806	7.804329
-3.043418	2.748894	7.844110
-3.043418	2.797981	7.879439
-3.043418	2.847068	7.910232
-3.043418	2.896156	7.936413
-3.043418	2.945243	7.957921
-3.043418	2.994330	7.974704
-3.043418	3.043418	7.986720
-3.043418	3.092505	7.993942
-2.994330	-3.141593	7.984334
-2.994330	-3.092505	7.981925
-2.994330	-3.043418	7.974704
-2.994330	-2.994330	7.962687
-2.994330	-2.945243	7.945905
-2.994330	-2.896156	7.924397
-2.994330	-2.847068	7.898215
-2.994330	-2.797981	7.867423
-2.994330	-2.748894	7.832094
-2.994330	-2.699806	7.792313
-2.994330	-2.650719	7.748177
-2.994330	-2.601631	7.699792
-2.994330	-2.552544	7.647274
-2.994330	-2.503457	7.590750
-2.994330	-2.454369	7.530355
-2.994330	-2.405282	7.466237
-2.994330	-2.356194	7.398548
-2.994330	-2.307107	7.327452
-2.994330	-2.258020	7.253121
-2.994330	-2.208932	7.175733
-2.994330	-2.159845	7.095475
-2.994330	-2.110758	7.012540
-2.994330	-2.061670	6.927128
-2.994330	-2.012583	6.839445
-2.994330	-1.963495	6.749701
-2.994330	-1.914408	6.658114
-2.994330	-1.865321	6.564904
