kx	ky	energy_up	energy_down
-3.141593	-3.141593	7.338318	5.661682
-3.141593	-3.092505	7.335909	5.659273
-3.141593	-3.043418	7.328687	5.652052
-3.141593	-2.994330	7.316671	5.640035
-3.141593	-2.945243	7.299888	5.623253
-3.141593	-2.896156	7.278380	5.601745
-3.141593	-2.847068	7.252199	5.575563
-3.141593	-2.797981	7.221406	5.544770
-3.141593	-2.748894	7.186077	5.509441
-3.141593	-2.699806	7.146296	5.469661
-3.141593	-2.650719	7.102160	5.425525
-3.141593	-2.601631	7.053775	5.377139
-3.141593	-2.552544	7.001257	5.324621
-3.141593	-2.503457	6.944733	5.268097
-3.141593	-2.454369	6.884339	5.207703
-3.141593	-2.405282	6.820220	5.143584
-3.141593	-2.356194	6.752531	5.075896
-3.141593	-2.307107	6.681436	5.004800
-3.141593	-2.258020	6.607104	4.930469
-3.141593	-2.208932	6.529716	4.853081
-3.141593	-2.159845	6.449458	4.772823
-3.141593	-2.110758	6.366523	4.689888
-3.141593	-2.061670	6.281111	4.604476
-3.141593	-2.012583	6.193428	4.516792
-3.141593	-1.963495	6.103685	4.427049
-3.141593	-1.914408	6.012098	4.335462
-3.141593	-1.865321	5.918887	4.242251
-3.141593	-1.816233	5.824278	4.147642
-3.141593	-1.767146	5.728499	4.051863
-3.141593	-1.718058	5.631779	3.955143
-3.141593	-1.668971	5.534352	3.857716
-3.141593	-1.619884	5.436453	3.759817
-3.141593	-1.570796	5.338318	3.661682
-3.141593	-1.521709	5.240183	3.563547
-3.141593	-1.472622	5.142284	3.465648
-3.141593	-1.423534	5.044857	3.368221
-3.141593	-1.374447	4.948137	3.271501
-3.141593	-1.325359	4.852358	3.175722
-3.141593	-1.276272	4.757749	3.081113
-3.141593	-1.227185	4.664538	2.987902
-3.141593	-1.178097	4.572951	2.896315
-3.141593	-1.129010	4.483208	2.806572
-3.141593	-1.079922	4.395524	2.718889
-3.141593	-1.030835	4.310112	2.633477
-3.141593	-0.981748	4.227177	2.550542
-3.141593	-0.932660	4.146919	2.470284
-3.141593	-0.883573	4.069531	2.392896
-3.141593	-0.834486	3.995200	2.318564
-3.141593	-0.785398	3.924104	2.247469
-3.141593	-0.736311	3.856416	2.179780
-3.141593	-0.687223	3.792297	2.115661
-3.141593	-0.638136	3.731903	2.055267
-3.141593	-0.589049	3.675379	1.998743
-3.141593	-0.539961	3.622861	1.946225
-3.141593	-0.490874	3.574475	1.897840
-3.141593	-0.441786	3.530339	1.853704
-3.141593	-0.392699	3.490559	1.813923
-3.141593	-0.343612	3.455230	1.778594
-3.141593	-0.294524	3.424437	1.747801
-3.141593	-0.245437	3.398255	1.721620
-3.141593	-0.196350	3.376747	1.700112
-3.141593	-0.147262	3.359965	1.683329
-3.141593	-0.098175	3.347948	1.671313
-3.141593	-0.049087	3.340727	1.664091
-3.141593	0.000000	3.338318	1.661682
-3.141593	0.049087	3.340727	1.664091
-3.141593	0.098175	3.347948	1.671313
-3.141593	0.147262	3.359965	1.683329
-3.141593	0.196350	3.376747	1.700112
-3.141593	0.245437	3.398255	1.721620
-3.141593	0.294524	3.424437	1.747801
-3.141593	0.343612	3.455230	1.778594
-3.141593	0.392699	3.490559	1.813923
-3.141593	0.441786	3.530339	1.853704
-3.141593	0.490874	3.574475	1.897840
-3.141593	0.539961	3.622861	1.946225
-3.141593	0.589049	3.675379	1.998743
-3.141593	0.638136	3.731903	2.055267
-3.141593	0.687223	3.792297	2.115661
-3.141593	0.736311	3.856416	2.179780
-3.141593	0.785398	3.924104	2.247469
-3.141593	0.834486	3.995200	2.318564
-3.141593	0.883573	4.069531	2.392896
-3.141593	0.932660	4.146919	2.470284
-3.141593	0.981748	4.227177	2.550542
-3.141593	1.030835	4.310112	2.633477
-3.141593	1.079922	4.395524	2.718889
-3.141593	1.129010	4.483208	2.806572
-3.141593	1.178097	4.572951	2.896315
-3.141593	1.227185	4.664538	2.987902
-3.141593	1.276272	4.757749	3.081113
-3.141593	1.325359	4.852358	3.175722
-3.141593	1.374447	4.948137	3.271501
-3.141593	1.423534	5.044857	3.368221
-3.141593	1.472622	5.142284	3.465648
-3.141593	1.521709	5.240183	3.563547
-3.141593	1.570796	5.338318	3.661682
-3.141593	1.619884	5.436453	3.759817
-3.141593	1.668971	5.534352	3.857716
-3.141593	1.718058	5.631779	3.955143
-3.141593	1.767146	5.728499	4.051863
-3.141593	1.816233	5.824278	4.147642
-3.141593	1.865321	5.918887	4.242251
-3.141593	1.914408	6.012098	4.335462
-3.141593	1.963495	6.103685	4.427049
-3.141593	2.012583	6.193428	4.516792
-3.141593	2.061670	6.281111	4.604476
-3.141593	2.110758	6.366523	4.689888
-3.141593	2.159845	6.449458	4.772823
-3.141593	2.208932	6.529716	4.853081
-3.141593	2.258020	6.607104	4.930469
-3.141593	2.307107	6.681436	5.004800
-3.141593	2.356194	6.752531	5.075896
-3.141593	2.405282	6.820220	5.143584
-3.141593	2.454369	6.884339	5.207703
-3.141593	2.503457	6.944733	5.268097
-3.141593	2.552544	7.001257	5.324621
-3.141593	2.601631	7.053775	5.377139
-3.141593	2.650719	7.102160	5.425525
-3.141593	2.699806	7.146296	5.469661
-3.141593	2.748894	7.186077	5.509441
-3.141593	2.797981	7.221406	5.544770
-3.141593	2.847068	7.252199	5.575563
-3.141593	2.896156	7.278380	5.601745
-3.141593	2.945243	7.299888	5.623253
-3.141593	2.994330	7.316671	5.640035
-3.141593	3.043418	7.328687	5.652052
-3.141593	3.092505	7.335909	5.659273
-3.092505	-3.141593	7.335909	5.659273
-3.092505	-3.092505	7.333500	5.656864
-3.092505	-3.043418	7.326278	5.649642
-3.092505	-2.994330	7.314262	5.637626
-3.092505	-2.945243	7.297479	5.620844
-3.092505	-2.896156	7.275971	5.599336
-3.092505	-2.847068	7.249789	5.573154
-3.092505	-2.797981	7.218997	5.542361
-3.092505	-2.748894	7.183668	5.507032
-3.092505	-2.699806	7.143887	5.467252
-3.092505	-2.650719	7.099751	5.423116
-3.092505	-2.601631	7.051366	5.374730
-3.092505	-2.552544	6.998848	5.322212
-3.092505	-2.503457	6.942324	5.265688
-3.092505	-2.454369	6.881930	5.205294
-3.092505	-2.405282	6.817811	5.141175
-3.092505	-2.356194	6.750122	5.073487
-3.092505	-2.307107	6.679027	5.002391
-3.092505	-2.258020	6.604695	4.928060
-3.092505	-2.208932	6.527307	4.850672
-3.092505	-2.159845	6.447049	4.770414
-3.092505	-2.110758	6.364114	4.687479
-3.092505	-2.061670	6.278702	4.602067
-3.092505	-2.012583	6.191019	4.514383
-3.092505	-1.963495	6.101276	4.424640
-3.092505	-1.914408	6.009688	4.333053
-3.092505	-1.865321	5.916478	4.239842
-3.092505	-1.816233	5.821869	4.145233
-3.092505	-1.767146	5.726089	4.049454
-3.092505	-1.718058	5.629370	3.952734
-3.092505	-1.668971	5.531943	3.855307
-3.092505	-1.619884	5.434044	3.757408
-3.092505	-1.570796	5.335909	3.659273
-3.092505	-1.521709	5.237773	3.561138
-3.092505	-1.472622	5.139875	3.463239
-3.092505	-1.423534	5.042448	3.365812
-3.092505	-1.374447	4.945728	3.269092
-3.092505	-1.325359	4.849948	3.173313
-3.092505	-1.276272	4.755339	3.078704
-3.092505	-1.227185	4.662129	2.985493
-3.092505	-1.178097	4.570542	2.893906
-3.092505	-1.129010	4.480799	2.804163
-3.092505	-1.079922	4.393115	2.716480
-3.092505	-1.030835	4.307703	2.631068
-3.092505	-0.981748	4.224768	2.548133
-3.092505	-0.932660	4.144510	2.467874
-3.092505	-0.883573	4.067122	2.390486
-3.092505	-0.834486	3.992791	2.316155
-3.092505	-0.785398	3.921695	2.245059
-3.092505	-0.736311	3.854007	2.177371
-3.092505	-0.687223	3.789888	2.113252
-3.092505	-0.638136	3.729494	2.052858
-3.092505	-0.589049	3.672970	1.996334
-3.092505	-0.539961	3.620452	1.943816
-3.092505	-0.490874	3.572066	1.895431
-3.092505	-0.441786	3.527930	1.851294
-3.092505	-0.392699	3.488150	1.811514
-3.092505	-0.343612	3.452821	1.776185
-3.092505	-0.294524	3.422028	1.745392
-3.092505	-0.245437	3.395846	1.719211
-3.092505	-0.196350	3.374338	1.697702
-3.092505	-0.147262	3.357556	1.680920
-3.092505	-0.098175	3.345539	1.668904
-3.092505	-0.049087	3.338318	1.661682
-3.092505	0.000000	3.335909	1.659273
-3.092505	0.049087	3.338318	1.661682
-3.092505	0.098175	3.345539	1.668904
-3.092505	0.147262	3.357556	1.680920
-3.092505	0.196350	3.374338	1.697702
-3.092505	0.245437	3.395846	1.719211
-3.092505	0.294524	3.422028	1.745392
-3.092505	0.343612	3.452821	1.776185
-3.092505	0.392699	3.488150	1.811514
-3.092505	0.441786	3.527930	1.851294
-3.092505	0.490874	3.572066	1.895431
-3.092505	0.539961	3.620452	1.943816
-3.092505	0.589049	3.672970	1.996334
-3.092505	0.638136	3.729494	2.052858
-3.092505	0.687223	3.789888	2.113252
-3.092505	0.736311	3.854007	2.177371
-3.092505	0.785398	3.921695	2.245059
-3.092505	0.834486	3.992791	2.316155
-3.092505	0.883573	4.067122	2.390486
-3.092505	0.932660	4.144510	2.467874
-3.092505	0.981748	4.224768	2.548133
-3.092505	1.030835	4.307703	2.631068
-3.092505	1.079922	4.393115	2.716480
-3.092505	1.129010	4.480799	2.804163
-3.092505	1.178097	4.570542	2.893906
-3.092505	1.227185	4.662129	2.985493
-3.092505	1.276272	4.755339	3.078704
-3.092505	1.325359	4.849948	3.173313
-3.092505	1.374447	4.945728	3.269092
-3.092505	1.423534	5.042448	3.365812
-3.092505	1.472622	5.139875	3.463239
-3.092505	1.521709	5.237773	3.561138
-3.092505	1.570796	5.335909	3.659273
-3.092505	1.619884	5.434044	3.757408
-3.092505	1.668971	5.531943	3.855307
-3.092505	1.718058	5.629370	3.952734
-3.092505	1.767146	5.726089	4.049454
-3.092505	1.816233	5.821869	4.145233
-3.092505	1.865321	5.916478	4.239842
-3.092505	1.914408	6.009688	4.333053
-3.092505	1.963495	6.101276	4.424640
-3.092505	2.012583	6.191019	4.514383
-3.092505	2.061670	6.278702	4.602067
-3.092505	2.110758	6.364114	4.687479
-3.092505	2.159845	6.447049	4.770414
-3.092505	2.208932	6.527307	4.850672
-3.092505	2.258020	6.604695	4.928060
-3.092505	2.307107	6.679027	5.002391
-3.092505	2.356194	6.750122	5.073487
-3.092505	2.405282	6.817811	5.141175
-3.092505	2.454369	6.881930	5.205294
-3.092505	2.503457	6.942324	5.265688
-3.092505	2.552544	6.998848	5.322212
-3.092505	2.601631	7.051366	5.374730
-3.092505	2.650719	7.099751	5.423116
-3.092505	2.699806	7.143887	5.467252
-3.092505	2.748894	7.183668	5.507032
-3.092505	2.797981	7.218997	5.542361
-3.092505	2.847068	7.249789	5.573154
-3.092505	2.896156	7.275971	5.599336
-3.092505	2.945243	7.297479	5.620844
-3.092505	2.994330	7.314262	5.637626
-3.092505	3.043418	7.326278	5.649642
-3.092505	3.092505	7.333500	5.656864
-3.043418	-3.141593	7.328687	5.652052
-3.043418	-3.092505	7.326278	5.649642
-3.043418	-3.043418	7.319057	5.642421
-3.043418	-2.994330	7.307040	5.630405
-3.043418	-2.945243	7.290258	5.613622
-3.043418	-2.896156	7.268750	5.592114
-3.043418	-2.847068	7.242568	5.565932
-3.043418	-2.797981	7.211775	5.535140
-3.043418	-2.748894	7.176446	5.499811
-3.043418	-2.699806	7.136666	5.460030
-3.043418	-2.650719	7.092530	5.415894
-3.043418	-2.601631	7.044145	5.367509
-3.043418	-2.552544	6.991627	5.314991
-3.043418	-2.503457	6.935102	5.258467
-3.043418	-2.454369	6.874708	5.198072
