path	fm energy1	fm energy2	fm_ energy1	fm_ energy2	afm energy1	afm energy2
95	2.840676	1.598838	4.719704	3.477866	1.186173	5.132370
96	2.805544	1.633971	4.684572	3.512999	1.196945	5.121597
97	2.771263	1.668251	4.650291	3.547280	1.206904	5.111638
98	2.737855	1.701659	4.616883	3.580688	1.216077	5.102465
99	2.705339	1.734175	4.584368	3.613203	1.224493	5.094050
100	2.673736	1.765778	4.552764	3.644806	1.232182	5.086361
101	2.643064	1.796450	4.522093	3.675478	1.239176	5.079367
102	2.613342	1.826172	4.492370	3.705200	1.245509	5.073034
103	2.584587	1.854927	4.463616	3.733955	1.251215	5.067327
104	2.556818	1.882696	4.435846	3.761725	1.256330	5.062213
105	2.530050	1.909464	4.409078	3.788493	1.260888	5.057654
106	2.504300	1.935214	4.383328	3.814243	1.264927	5.053616
107	2.479583	1.959931	4.358611	3.838959	1.268481	5.050061
108	2.455915	1.983600	4.334943	3.862628	1.271588	5.046954
109	2.433308	2.006206	4.312337	3.885234	1.274283	5.044260
110	2.411778	2.027736	4.290807	3.906764	1.276600	5.041942
111	2.391338	2.048177	4.270366	3.927205	1.278575	5.039967
112	2.371998	2.067516	4.251026	3.946544	1.280241	5.038301
113	2.353771	2.085743	4.232800	3.964771	1.281630	5.036913
114	2.336669	2.102845	4.215697	3.981874	1.282773	5.035769
115	2.320701	2.118813	4.199729	3.997842	1.283700	5.034842
116	2.305876	2.133638	4.184905	4.012666	1.284440	5.034103
117	2.292205	2.147309	4.171233	4.026338	1.285018	5.033525
118	2.279695	2.159820	4.158723	4.038848	1.285460	5.033083
119	2.268353	2.171161	4.147381	4.050190	1.285788	5.032754
120	2.258187	2.181328	4.137215	4.060356	1.286024	5.032518
121	2.249202	2.190312	4.128230	4.069341	1.286187	5.032355
122	2.241404	2.198110	4.120432	4.077138	1.286293	5.032249
123	2.234798	2.204716	4.113826	4.083744	1.286358	5.032184
124	2.229388	2.210127	4.108416	4.089155	1.286394	5.032149
125	2.225176	2.214338	4.104204	4.093366	1.286411	5.032132
126	2.222166	2.217348	4.101194	4.096376	1.286417	5.032125
127	2.220359	2.219155	4.099388	4.098183	1.286418	5.032124
128	2.219757	2.219757	4.098785	4.098785	1.286419	5.032124
129	2.219155	2.220359	4.098183	4.099388	1.286418	5.032124
130	2.222166	2.217348	4.096376	4.101194	1.286417	5.032125
131	2.225176	2.214338	4.093366	4.104204	1.286411	5.032132
132	2.229388	2.210127	4.108416	4.089155	1.286394	5.032149
