kx	ky	energy_up	energy_down
-3.141593	-3.141593	6.274170	5.725830
-3.141593	-3.092505	6.271761	5.723421
-3.141593	-3.043418	6.264539	5.716200
-3.141593	-2.994330	6.252523	5.704183
-3.141593	-2.945243	6.235740	5.687401
-3.141593	-2.896156	6.214232	5.665893
-3.141593	-2.847068	6.188051	5.639711
-3.141593	-2.797981	6.157258	5.608918
-3.141593	-2.748894	6.121929	5.573589
-3.141593	-2.699806	6.082149	5.533809
-3.141593	-2.650719	6.038012	5.489673
-3.141593	-2.601631	5.989627	5.441287
-3.141593	-2.552544	5.937109	5.388769
-3.141593	-2.503457	5.880585	5.332245
-3.141593	-2.454369	5.820191	5.271851
-3.141593	-2.405282	5.756072	5.207732
-3.141593	-2.356194	5.688383	5.140044
-3.141593	-2.307107	5.617288	5.068948
-3.141593	-2.258020	5.542956	4.994617
-3.141593	-2.208932	5.465569	4.917229
-3.141593	-2.159845	5.385310	4.836971
-3.141593	-2.110758	5.302375	4.754036
-3.141593	-2.061670	5.216963	4.668624
-3.141593	-2.012583	5.129280	4.580940
-3.141593	-1.963495	5.039537	4.491197
-3.141593	-1.914408	4.947950	4.399610
-3.141593	-1.865321	4.854739	4.306399
-3.141593	-1.816233	4.760130	4.211790
-3.141593	-1.767146	4.664351	4.116011
-3.141593	-1.718058	4.567631	4.019291
-3.141593	-1.668971	4.470204	3.921864
-3.141593	-1.619884	4.372305	3.823965
-3.141593	-1.570796	4.274170	3.725830
-3.141593	-1.521709	4.176035	3.627695
-3.141593	-1.472622	4.078136	3.529796
-3.141593	-1.423534	3.980709	3.432369
-3.141593	-1.374447	3.883989	3.335649
-3.141593	-1.325359	3.788210	3.239870
-3.141593	-1.276272	3.693601	3.145261
-3.141593	-1.227185	3.600390	3.052050
-3.141593	-1.178097	3.508803	2.960463
-3.141593	-1.129010	3.419060	2.870720
-3.141593	-1.079922	3.331376	2.783037
-3.141593	-1.030835	3.245964	2.697625
-3.141593	-0.981748	3.163029	2.614690
-3.141593	-0.932660	3.082771	2.534431
-3.141593	-0.883573	3.005383	2.457044
-3.141593	-0.834486	2.931052	2.382712
-3.141593	-0.785398	2.859956	2.311617
-3.141593	-0.736311	2.792268	2.243928
-3.141593	-0.687223	2.728149	2.179809
-3.141593	-0.638136	2.667755	2.119415
-3.141593	-0.589049	2.611231	2.062891
-3.141593	-0.539961	2.558713	2.010373
-3.141593	-0.490874	2.510327	1.961988
-3.141593	-0.441786	2.466191	1.917851
-3.141593	-0.392699	2.426411	1.878071
-3.141593	-0.343612	2.391082	1.842742
-3.141593	-0.294524	2.360289	1.811949
-3.141593	-0.245437	2.334107	1.785768
-3.141593	-0.196350	2.312599	1.764260
-3.141593	-0.147262	2.295817	1.747477
-3.141593	-0.098175	2.283800	1.735461
-3.141593	-0.049087	2.276579	1.728239
-3.141593	0.000000	2.274170	1.725830
-3.141593	0.049087	2.276579	1.728239
-3.141593	0.098175	2.283800	1.735461
-3.141593	0.147262	2.295817	1.747477
-3.141593	0.196350	2.312599	1.764260
-3.141593	0.245437	2.334107	1.785768
-3.141593	0.294524	2.360289	1.811949
-3.141593	0.343612	2.391082	1.842742
-3.141593	0.392699	2.426411	1.878071
-3.141593	0.441786	2.466191	1.917851
-3.141593	0.490874	2.510327	1.961988
-3.141593	0.539961	2.558713	2.010373
-3.141593	0.589049	2.611231	2.062891
-3.141593	0.638136	2.667755	2.119415
-3.141593	0.687223	2.728149	2.179809
-3.141593	0.736311	2.792268	2.243928
-3.141593	0.785398	2.859956	2.311617
-3.141593	0.834486	2.931052	2.382712
-3.141593	0.883573	3.005383	2.457044
-3.141593	0.932660	3.082771	2.534431
-3.141593	0.981748	3.163029	2.614690
-3.141593	1.030835	3.245964	2.697625
-3.141593	1.079922	3.331376	2.783037
-3.141593	1.129010	3.419060	2.870720
-3.141593	1.178097	3.508803	2.960463
-3.141593	1.227185	3.600390	3.052050
-3.141593	1.276272	3.693601	3.145261
-3.141593	1.325359	3.788210	3.239870
-3.141593	1.374447	3.883989	3.335649
-3.141593	1.423534	3.980709	3.432369
-3.141593	1.472622	4.078136	3.529796
