kx	ky	energy
-3.141593	-3.141593	12.997253
-3.141593	-3.092505	12.994844
-3.141593	-3.043418	12.987623
-3.141593	-2.994330	12.975606
-3.141593	-2.945243	12.958824
-3.141593	-2.896156	12.937316
-3.141593	-2.847068	12.911134
-3.141593	-2.797981	12.880342
-3.141593	-2.748894	12.845012
-3.141593	-2.699806	12.805232
-3.141593	-2.650719	12.761096
-3.141593	-2.601631	12.712711
-3.141593	-2.552544	12.660193
-3.141593	-2.503457	12.603668
-3.141593	-2.454369	12.543274
-3.141593	-2.405282	12.479156
-3.141593	-2.356194	12.411467
-3.141593	-2.307107	12.340371
-3.141593	-2.258020	12.266040
-3.141593	-2.208932	12.188652
-3.141593	-2.159845	12.108394
-3.141593	-2.110758	12.025459
-3.141593	-2.061670	11.940047
-3.141593	-2.012583	11.852364
-3.141593	-1.963495	11.762620
-3.141593	-1.914408	11.671033
-3.141593	-1.865321	11.577823
-3.141593	-1.816233	11.483214
-3.141593	-1.767146	11.387434
-3.141593	-1.718058	11.290714
-3.141593	-1.668971	11.193288
-3.141593	-1.619884	11.095389
-3.141593	-1.570796	10.997253
-3.141593	-1.521709	10.899118
-3.141593	-1.472622	10.801219
-3.141593	-1.423534	10.703792
-3.141593	-1.374447	10.607073
-3.141593	-1.325359	10.511293
-3.141593	-1.276272	10.416684
-3.141593	-1.227185	10.323474
-3.141593	-1.178097	10.231887
-3.141593	-1.129010	10.142143
-3.141593	-1.079922	10.054460
-3.141593	-1.030835	9.969048
-3.141593	-0.981748	9.886113
-3.141593	-0.932660	9.805855
-3.141593	-0.883573	9.728467
-3.141593	-0.834486	9.654136
-3.141593	-0.785398	9.583040
-3.141593	-0.736311	9.515351
-3.141593	-0.687223	9.451233
-3.141593	-0.638136	9.390838
-3.141593	-0.589049	9.334314
-3.141593	-0.539961	9.281796
-3.141593	-0.490874	9.233411
-3.141593	-0.441786	9.189275
-3.141593	-0.392699	9.149494
-3.141593	-0.343612	9.114165
-3.141593	-0.294524	9.083373
-3.141593	-0.245437	9.057191
-3.141593	-0.196350	9.035683
-3.141593	-0.147262	9.018900
-3.141593	-0.098175	9.006884
-3.141593	-0.049087	8.999663
-3.141593	0.000000	8.997253
-3.141593	0.049087	8.999663
-3.141593	0.098175	9.006884
-3.141593	0.147262	9.018900
-3.141593	0.196350	9.035683
-3.141593	0.245437	9.057191
-3.141593	0.294524	9.083373
-3.141593	0.343612	9.114165
-3.141593	0.392699	9.149494
-3.141593	0.441786	9.189275
-3.141593	0.490874	9.233411
-3.141593	0.539961	9.281796
-3.141593	0.589049	9.334314
-3.141593	0.638136	9.390838
-3.141593	0.687223	9.451233
-3.141593	0.736311	9.515351
-3.141593	0.785398	9.583040
-3.141593	0.834486	9.654136
-3.141593	0.883573	9.728467
-3.141593	0.932660	9.805855
-3.141593	0.981748	9.886113
-3.141593	1.030835	9.969048
-3.141593	1.079922	10.054460
-3.141593	1.129010	10.142143
-3.141593	1.178097	10.231887
-3.141593	1.227185	10.323474
-3.141593	1.276272	10.416684
-3.141593	1.325359	10.511293
-3.141593	1.374447	10.607073
-3.141593	1.423534	10.703792
-3.141593	1.472622	10.801219
-3.141593	1.521709	10.899118
-3.141593	1.570796	10.997253
-3.141593	1.619884	11.095389
-3.141593	1.668971	11.193288
-3.141593	1.718058	11.290714
-3.141593	1.767146	11.387434
-3.141593	1.816233	11.483214
-3.141593	1.865321	11.577823
-3.141593	1.914408	11.671033
-3.141593	1.963495	11.762620
-3.141593	2.012583	11.852364
-3.141593	2.061670	11.940047
-3.141593	2.110758	12.025459
-3.141593	2.159845	12.108394
-3.141593	2.208932	12.188652
-3.141593	2.258020	12.266040
-3.141593	2.307107	12.340371
-3.141593	2.356194	12.411467
-3.141593	2.405282	12.479156
-3.141593	2.454369	12.543274
-3.141593	2.503457	12.603668
-3.141593	2.552544	12.660193
-3.141593	2.601631	12.712711
-3.141593	2.650719	12.761096
-3.141593	2.699806	12.805232
-3.141593	2.748894	12.845012
-3.141593	2.797981	12.880342
-3.141593	2.847068	12.911134
-3.141593	2.896156	12.937316
-3.141593	2.945243	12.958824
-3.141593	2.994330	12.975606
-3.141593	3.043418	12.987623
-3.141593	3.092505	12.994844
-3.092505	-3.141593	12.994844
-3.092505	-3.092505	12.992435
-3.092505	-3.043418	12.985214
-3.092505	-2.994330	12.973197
-3.092505	-2.945243	12.956415
-3.092505	-2.896156	12.934907
-3.092505	-2.847068	12.908725
-3.092505	-2.797981	12.877932
-3.092505	-2.748894	12.842603
-3.092505	-2.699806	12.802823
-3.092505	-2.650719	12.758687
-3.092505	-2.601631	12.710302
-3.092505	-2.552544	12.657784
-3.092505	-2.503457	12.601259
-3.092505	-2.454369	12.540865
-3.092505	-2.405282	12.476747
-3.092505	-2.356194	12.409058
-3.092505	-2.307107	12.337962
-3.092505	-2.258020	12.263631
-3.092505	-2.208932	12.186243
-3.092505	-2.159845	12.105985
-3.092505	-2.110758	12.023050
-3.092505	-2.061670	11.937638
-3.092505	-2.012583	11.849955
-3.092505	-1.963495	11.760211
-3.092505	-1.914408	11.668624
-3.092505	-1.865321	11.575414
-3.092505	-1.816233	11.480805
-3.092505	-1.767146	11.385025
-3.092505	-1.718058	11.288305
-3.092505	-1.668971	11.190879
-3.092505	-1.619884	11.092980
-3.092505	-1.570796	10.994844
-3.092505	-1.521709	10.896709
-3.092505	-1.472622	10.798810
-3.092505	-1.423534	10.701383
-3.092505	-1.374447	10.604664
-3.092505	-1.325359	10.508884
-3.092505	-1.276272	10.414275
-3.092505	-1.227185	10.321065
-3.092505	-1.178097	10.229477
-3.092505	-1.129010	10.139734
-3.092505	-1.079922	10.052051
-3.092505	-1.030835	9.966639
-3.092505	-0.981748	9.883704
-3.092505	-0.932660	9.803446
-3.092505	-0.883573	9.726058
-3.092505	-0.834486	9.651726
-3.092505	-0.785398	9.580631
-3.092505	-0.736311	9.512942
-3.092505	-0.687223	9.448823
-3.092505	-0.638136	9.388429
-3.092505	-0.589049	9.331905
-3.092505	-0.539961	9.279387
-3.092505	-0.490874	9.231002
-3.092505	-0.441786	9.186866
-3.092505	-0.392699	9.147085
-3.092505	-0.343612	9.111756
