kx	ky	energy_up	energy_down
-3.141593	-3.141593	8.654907	5.345093
-3.141593	-3.092505	8.652498	5.342684
-3.141593	-3.043418	8.645277	5.335462
-3.141593	-2.994330	8.633260	5.323446
-3.141593	-2.945243	8.616478	5.306663
-3.141593	-2.896156	8.594970	5.285155
-3.141593	-2.847068	8.568788	5.258973
-3.141593	-2.797981	8.537995	5.228181
-3.141593	-2.748894	8.502666	5.192852
-3.141593	-2.699806	8.462886	5.153071
-3.141593	-2.650719	8.418750	5.108935
-3.141593	-2.601631	8.370364	5.060550
-3.141593	-2.552544	8.317846	5.008032
-3.141593	-2.503457	8.261322	4.951508
-3.141593	-2.454369	8.200928	4.891114
-3.141593	-2.405282	8.136809	4.826995
-3.141593	-2.356194	8.069121	4.759306
-3.141593	-2.307107	7.998025	4.688211
-3.141593	-2.258020	7.923694	4.613879
-3.141593	-2.208932	7.846306	4.536491
-3.141593	-2.159845	7.766048	4.456233
-3.141593	-2.110758	7.683113	4.373298
-3.141593	-2.061670	7.597701	4.287886
-3.141593	-2.012583	7.510017	4.200203
-3.141593	-1.963495	7.420274	4.110460
-3.141593	-1.914408	7.328687	4.018872
-3.141593	-1.865321	7.235477	3.925662
-3.141593	-1.816233	7.140868	3.831053
-3.141593	-1.767146	7.045088	3.735273
-3.141593	-1.718058	6.948368	3.638554
-3.141593	-1.668971	6.850942	3.541127
-3.141593	-1.619884	6.753043	3.443228
-3.141593	-1.570796	6.654907	3.345093
-3.141593	-1.521709	6.556772	3.246957
-3.141593	-1.472622	6.458873	3.149058
-3.141593	-1.423534	6.361446	3.051632
-3.141593	-1.374447	6.264727	2.954912
-3.141593	-1.325359	6.168947	2.859132
-3.141593	-1.276272	6.074338	2.764523
-3.141593	-1.227185	5.981128	2.671313
-3.141593	-1.178097	5.889540	2.579726
-3.141593	-1.129010	5.799797	2.489983
-3.141593	-1.079922	5.712114	2.402299
-3.141593	-1.030835	5.626702	2.316887
-3.141593	-0.981748	5.543767	2.233952
-3.141593	-0.932660	5.463509	2.153694
-3.141593	-0.883573	5.386121	2.076306
-3.141593	-0.834486	5.311789	2.001975
-3.141593	-0.785398	5.240694	1.930879
-3.141593	-0.736311	5.173005	1.863191
-3.141593	-0.687223	5.108886	1.799072
-3.141593	-0.638136	5.048492	1.738678
-3.141593	-0.589049	4.991968	1.682154
-3.141593	-0.539961	4.939450	1.629636
-3.141593	-0.490874	4.891065	1.581250
-3.141593	-0.441786	4.846929	1.537114
-3.141593	-0.392699	4.807148	1.497334
-3.141593	-0.343612	4.771819	1.462005
-3.141593	-0.294524	4.741027	1.431212
-3.141593	-0.245437	4.714845	1.405030
-3.141593	-0.196350	4.693337	1.383522
-3.141593	-0.147262	4.676554	1.366740
-3.141593	-0.098175	4.664538	1.354723
-3.141593	-0.049087	4.657316	1.347502
-3.141593	0.000000	4.654907	1.345093
-3.141593	0.049087	4.657316	1.347502
-3.141593	0.098175	4.664538	1.354723
-3.141593	0.147262	4.676554	1.366740
-3.141593	0.196350	4.693337	1.383522
-3.141593	0.245437	4.714845	1.405030
-3.141593	0.294524	4.741027	1.431212
-3.141593	0.343612	4.771819	1.462005
-3.141593	0.392699	4.807148	1.497334
-3.141593	0.441786	4.846929	1.537114
-3.141593	0.490874	4.891065	1.581250
-3.141593	0.539961	4.939450	1.629636
-3.141593	0.589049	4.991968	1.682154
-3.141593	0.638136	5.048492	1.738678
-3.141593	0.687223	5.108886	1.799072
-3.141593	0.736311	5.173005	1.863191
-3.141593	0.785398	5.240694	1.930879
-3.141593	0.834486	5.311789	2.001975
-3.141593	0.883573	5.386121	2.076306
-3.141593	0.932660	5.463509	2.153694
-3.141593	0.981748	5.543767	2.233952
-3.141593	1.030835	5.626702	2.316887
-3.141593	1.079922	5.712114	2.402299
-3.141593	1.129010	5.799797	2.489983
-3.141593	1.178097	5.889540	2.579726
-3.141593	1.227185	5.981128	2.671313
-3.141593	1.276272	6.074338	2.764523
-3.141593	1.325359	6.168947	2.859132
-3.141593	1.374447	6.264727	2.954912
-3.141593	1.423534	6.361446	3.051632
-3.141593	1.472622	6.458873	3.149058
-3.141593	1.521709	6.556772	3.246957
-3.141593	1.570796	6.654907	3.345093
-3.141593	1.619884	6.753043	3.443228
-3.141593	1.668971	6.850942	3.541127
-3.141593	1.718058	6.948368	3.638554
-3.141593	1.767146	7.045088	3.735273
-3.141593	1.816233	7.140868	3.831053
-3.141593	1.865321	7.235477	3.925662
-3.141593	1.914408	7.328687	4.018872
-3.141593	1.963495	7.420274	4.110460
-3.141593	2.012583	7.510017	4.200203
-3.141593	2.061670	7.597701	4.287886
-3.141593	2.110758	7.683113	4.373298
-3.141593	2.159845	7.766048	4.456233
-3.141593	2.208932	7.846306	4.536491
-3.141593	2.258020	7.923694	4.613879
-3.141593	2.307107	7.998025	4.688211
-3.141593	2.356194	8.069121	4.759306
-3.141593	2.405282	8.136809	4.826995
-3.141593	2.454369	8.200928	4.891114
-3.141593	2.503457	8.261322	4.951508
-3.141593	2.552544	8.317846	5.008032
-3.141593	2.601631	8.370364	5.060550
-3.141593	2.650719	8.418750	5.108935
-3.141593	2.699806	8.462886	5.153071
-3.141593	2.748894	8.502666	5.192852
-3.141593	2.797981	8.537995	5.228181
-3.141593	2.847068	8.568788	5.258973
-3.141593	2.896156	8.594970	5.285155
-3.141593	2.945243	8.616478	5.306663
-3.141593	2.994330	8.633260	5.323446
-3.141593	3.043418	8.645277	5.335462
-3.141593	3.092505	8.652498	5.342684
-3.092505	-3.141593	8.652498	5.342684
-3.092505	-3.092505	8.650089	5.340275
-3.092505	-3.043418	8.642868	5.333053
-3.092505	-2.994330	8.630851	5.321037
-3.092505	-2.945243	8.614069	5.304254
-3.092505	-2.896156	8.592561	5.282746
-3.092505	-2.847068	8.566379	5.256564
-3.092505	-2.797981	8.535586	5.225772
-3.092505	-2.748894	8.500257	5.190443
-3.092505	-2.699806	8.460477	5.150662
-3.092505	-2.650719	8.416341	5.106526
-3.092505	-2.601631	8.367955	5.058141
-3.092505	-2.552544	8.315437	5.005623
-3.092505	-2.503457	8.258913	4.949099
-3.092505	-2.454369	8.198519	4.888705
-3.092505	-2.405282	8.134400	4.824586
-3.092505	-2.356194	8.066712	4.756897
-3.092505	-2.307107	7.995616	4.685802
-3.092505	-2.258020	7.921285	4.611470
-3.092505	-2.208932	7.843897	4.534082
-3.092505	-2.159845	7.763639	4.453824
-3.092505	-2.110758	7.680704	4.370889
-3.092505	-2.061670	7.595292	4.285477
-3.092505	-2.012583	7.507608	4.197794
-3.092505	-1.963495	7.417865	4.108051
-3.092505	-1.914408	7.326278	4.016463
-3.092505	-1.865321	7.233067	3.923253
-3.092505	-1.816233	7.138458	3.828644
-3.092505	-1.767146	7.042679	3.732864
-3.092505	-1.718058	6.945959	3.636145
-3.092505	-1.668971	6.848532	3.538718
-3.092505	-1.619884	6.750633	3.440819
-3.092505	-1.570796	6.652498	3.342684
-3.092505	-1.521709	6.554363	3.244548
-3.092505	-1.472622	6.456464	3.146649
-3.092505	-1.423534	6.359037	3.049223
-3.092505	-1.374447	6.262317	2.952503
-3.092505	-1.325359	6.166538	2.856723
-3.092505	-1.276272	6.071929	2.762114
-3.092505	-1.227185	5.978718	2.668904
-3.092505	-1.178097	5.887131	2.577317
-3.092505	-1.129010	5.797388	2.487573
-3.092505	-1.079922	5.709705	2.399890
-3.092505	-1.030835	5.624293	2.314478
-3.092505	-0.981748	5.541358	2.231543
-3.092505	-0.932660	5.461100	2.151285
-3.092505	-0.883573	5.383712	2.073897
-3.092505	-0.834486	5.309380	1.999566
-3.092505	-0.785398	5.238285	1.928470
-3.092505	-0.736311	5.170596	1.860781
-3.092505	-0.687223	5.106477	1.796663
-3.092505	-0.638136	5.046083	1.736269
-3.092505	-0.589049	4.989559	1.679744
-3.092505	-0.539961	4.937041	1.627226
-3.092505	-0.490874	4.888656	1.578841
-3.092505	-0.441786	4.844520	1.534705
-3.092505	-0.392699	4.804739	1.494925
-3.092505	-0.343612	4.769410	1.459596
-3.092505	-0.294524	4.738617	1.428803
-3.092505	-0.245437	4.712436	1.402621
-3.092505	-0.196350	4.690928	1.381113
-3.092505	-0.147262	4.674145	1.364331
-3.092505	-0.098175	4.662129	1.352314
-3.092505	-0.049087	4.654907	1.345093
-3.092505	0.000000	4.652498	1.342684
-3.092505	0.049087	4.654907	1.345093
-3.092505	0.098175	4.662129	1.352314
-3.092505	0.147262	4.674145	1.364331
-3.092505	0.196350	4.690928	1.381113
-3.092505	0.245437	4.712436	1.402621
-3.092505	0.294524	4.738617	1.428803
-3.092505	0.343612	4.769410	1.459596
-3.092505	0.392699	4.804739	1.494925
-3.092505	0.441786	4.844520	1.534705
-3.092505	0.490874	4.888656	1.578841
-3.092505	0.539961	4.937041	1.627226
-3.092505	0.589049	4.989559	1.679744
-3.092505	0.638136	5.046083	1.736269
-3.092505	0.687223	5.106477	1.796663
-3.092505	0.736311	5.170596	1.860781
-3.092505	0.785398	5.238285	1.928470
-3.092505	0.834486	5.309380	1.999566
-3.092505	0.883573	5.383712	2.073897
-3.092505	0.932660	5.461100	2.151285
-3.092505	0.981748	5.541358	2.231543
-3.092505	1.030835	5.624293	2.314478
-3.092505	1.079922	5.709705	2.399890
-3.092505	1.129010	5.797388	2.487573
-3.092505	1.178097	5.887131	2.577317
-3.092505	1.227185	5.978718	2.668904
-3.092505	1.276272	6.071929	2.762114
-3.092505	1.325359	6.166538	2.856723
-3.092505	1.374447	6.262317	2.952503
-3.092505	1.423534	6.359037	3.049223
-3.092505	1.472622	6.456464	3.146649
-3.092505	1.521709	6.554363	3.244548
-3.092505	1.570796	6.652498	3.342684
-3.092505	1.619884	6.750633	3.440819
-3.092505	1.668971	6.848532	3.538718
-3.092505	1.718058	6.945959	3.636145
-3.092505	1.767146	7.042679	3.732864
-3.092505	1.816233	7.138458	3.828644
-3.092505	1.865321	7.233067	3.923253
-3.092505	1.914408	7.326278	4.016463
-3.092505	1.963495	7.417865	4.108051
-3.092505	2.012583	7.507608	4.197794
-3.092505	2.061670	7.595292	4.285477
-3.092505	2.110758	7.680704	4.370889
-3.092505	2.159845	7.763639	4.453824
-3.092505	2.208932	7.843897	4.534082
-3.092505	2.258020	7.921285	4.611470
-3.092505	2.307107	7.995616	4.685802
-3.092505	2.356194	8.066712	4.756897
-3.092505	2.405282	8.134400	4.824586
-3.092505	2.454369	8.198519	4.888705
-3.092505	2.503457	8.258913	4.949099
-3.092505	2.552544	8.315437	5.005623
