kx	ky	energy
-3.141593	-3.141593	4.507751
-3.141593	-3.092505	4.505342
-3.141593	-3.043418	4.498121
-3.141593	-2.994330	4.486104
-3.141593	-2.945243	4.469322
-3.141593	-2.896156	4.447814
-3.141593	-2.847068	4.421632
-3.141593	-2.797981	4.390840
-3.141593	-2.748894	4.355511
-3.141593	-2.699806	4.315730
-3.141593	-2.650719	4.271594
-3.141593	-2.601631	4.223209
-3.141593	-2.552544	4.170691
-3.141593	-2.503457	4.114167
-3.141593	-2.454369	4.053772
-3.141593	-2.405282	3.989654
-3.141593	-2.356194	3.921965
-3.141593	-2.307107	3.850869
-3.141593	-2.258020	3.776538
-3.141593	-2.208932	3.699150
-3.141593	-2.159845	3.618892
-3.141593	-2.110758	3.535957
-3.141593	-2.061670	3.450545
-3.141593	-2.012583	3.362862
-3.141593	-1.963495	3.273118
-3.141593	-1.914408	3.181531
-3.141593	-1.865321	3.088321
-3.141593	-1.816233	2.993712
-3.141593	-1.767146	2.897932
-3.141593	-1.718058	2.801212
-3.141593	-1.668971	2.703786
-3.141593	-1.619884	2.605887
-3.141593	-1.570796	2.507751
-3.141593	-1.521709	2.409616
-3.141593	-1.472622	2.311717
-3.141593	-1.423534	2.214291
-3.141593	-1.374447	2.117571
-3.141593	-1.325359	2.021791
-3.141593	-1.276272	1.927182
-3.141593	-1.227185	1.833972
-3.141593	-1.178097	1.742385
-3.141593	-1.129010	1.652641
-3.141593	-1.079922	1.564958
-3.141593	-1.030835	1.479546
-3.141593	-0.981748	1.396611
-3.141593	-0.932660	1.316353
-3.141593	-0.883573	1.238965
-3.141593	-0.834486	1.164634
-3.141593	-0.785398	1.093538
-3.141593	-0.736311	1.025849
-3.141593	-0.687223	0.961731
-3.141593	-0.638136	0.901336
-3.141593	-0.589049	0.844812
-3.141593	-0.539961	0.792294
-3.141593	-0.490874	0.743909
-3.141593	-0.441786	0.699773
-3.141593	-0.392699	0.659992
-3.141593	-0.343612	0.624663
-3.141593	-0.294524	0.593871
-3.141593	-0.245437	0.567689
-3.141593	-0.196350	0.546181
-3.141593	-0.147262	0.529398
-3.141593	-0.098175	0.517382
-3.141593	-0.049087	0.510161
-3.141593	0.000000	0.507751
