kx	ky	energy
-3.141593	-3.141593	4.000000
-3.141593	-3.092505	3.997591
-3.141593	-3.043418	3.990369
-3.141593	-2.994330	3.978353
-3.141593	-2.945243	3.961571
-3.141593	-2.896156	3.940063
-3.141593	-2.847068	3.913881
-3.141593	-2.797981	3.883088
-3.141593	-2.748894	3.847759
-3.141593	-2.699806	3.807979
-3.141593	-2.650719	3.763843
-3.141593	-2.601631	3.715457
-3.141593	-2.552544	3.662939
-3.141593	-2.503457	3.606415
-3.141593	-2.454369	3.546021
-3.141593	-2.405282	3.481902
-3.141593	-2.356194	3.414214
-3.141593	-2.307107	3.343118
-3.141593	-2.258020	3.268787
-3.141593	-2.208932	3.191399
-3.141593	-2.159845	3.111140
-3.141593	-2.110758	3.028205
-3.141593	-2.061670	2.942793
-3.141593	-2.012583	2.855110
-3.141593	-1.963495	2.765367
-3.141593	-1.914408	2.673780
-3.141593	-1.865321	2.580569
-3.141593	-1.816233	2.485960
-3.141593	-1.767146	2.390181
-3.141593	-1.718058	2.293461
-3.141593	-1.668971	2.196034
-3.141593	-1.619884	2.098135
-3.141593	-1.570796	2.000000
-3.141593	-1.521709	1.901865
-3.141593	-1.472622	1.803966
-3.141593	-1.423534	1.706539
-3.141593	-1.374447	1.609819
-3.141593	-1.325359	1.514040
-3.141593	-1.276272	1.419431
-3.141593	-1.227185	1.326220
-3.141593	-1.178097	1.234633
-3.141593	-1.129010	1.144890
-3.141593	-1.079922	1.057207
-3.141593	-1.030835	0.971795
-3.141593	-0.981748	0.888860
-3.141593	-0.932660	0.808601
-3.141593	-0.883573	0.731213
-3.141593	-0.834486	0.656882
-3.141593	-0.785398	0.585786
-3.141593	-0.736311	0.518098
-3.141593	-0.687223	0.453979
-3.141593	-0.638136	0.393585
-3.141593	-0.589049	0.337061
-3.141593	-0.539961	0.284543
-3.141593	-0.490874	0.236157
-3.141593	-0.441786	0.192021
-3.141593	-0.392699	0.152241
-3.141593	-0.343612	0.116912
-3.141593	-0.294524	0.086119
-3.141593	-0.245437	0.059937
-3.141593	-0.196350	0.038429
-3.141593	-0.147262	0.021647
-3.141593	-0.098175	0.009631
-3.141593	-0.049087	0.002409
-3.141593	0.000000	0.000000
-3.141593	0.049087	0.002409
-3.141593	0.098175	0.009631
-3.141593	0.147262	0.021647
-3.141593	0.196350	0.038429
-3.141593	0.245437	0.059937
-3.141593	0.294524	0.086119
-3.141593	0.343612	0.116912
-3.141593	0.392699	0.152241
-3.141593	0.441786	0.192021
-3.141593	0.490874	0.236157
-3.141593	0.539961	0.284543
-3.141593	0.589049	0.337061
-3.141593	0.638136	0.393585
-3.141593	0.687223	0.453979
-3.141593	0.736311	0.518098
-3.141593	0.785398	0.585786
-3.141593	0.834486	0.656882
-3.141593	0.883573	0.731213
-3.141593	0.932660	0.808601
-3.141593	0.981748	0.888860
-3.141593	1.030835	0.971795
-3.141593	1.079922	1.057207
-3.141593	1.129010	1.144890
-3.141593	1.178097	1.234633
-3.141593	1.227185	1.326220
-3.141593	1.276272	1.419431
-3.141593	1.325359	1.514040
-3.141593	1.374447	1.609819
