kx	ky	energy_up	energy_down
-3.141593	-3.141593	10.216858	4.783142
-3.141593	-3.092505	10.214449	4.780733
-3.141593	-3.043418	10.207227	4.773512
-3.141593	-2.994330	10.195211	4.761495
-3.141593	-2.945243	10.178428	4.744713
-3.141593	-2.896156	10.156920	4.723205
-3.141593	-2.847068	10.130739	4.697023
-3.141593	-2.797981	10.099946	4.666230
-3.141593	-2.748894	10.064617	4.630901
-3.141593	-2.699806	10.024836	4.591121
-3.141593	-2.650719	9.980700	4.546985
-3.141593	-2.601631	9.932315	4.498599
-3.141593	-2.552544	9.879797	4.446081
-3.141593	-2.503457	9.823273	4.389557
-3.141593	-2.454369	9.762879	4.329163
-3.141593	-2.405282	9.698760	4.265044
-3.141593	-2.356194	9.631071	4.197356
-3.141593	-2.307107	9.559976	4.126260
-3.141593	-2.258020	9.485644	4.051929
-3.141593	-2.208932	9.408257	3.974541
-3.141593	-2.159845	9.327998	3.894283
-3.141593	-2.110758	9.245063	3.811348
-3.141593	-2.061670	9.159651	3.725936
-3.141593	-2.012583	9.071968	3.638252
-3.141593	-1.963495	8.982225	3.548509
-3.141593	-1.914408	8.890638	3.456922
-3.141593	-1.865321	8.797427	3.363711
-3.141593	-1.816233	8.702818	3.269102
-3.141593	-1.767146	8.607039	3.173323
-3.141593	-1.718058	8.510319	3.076603
-3.141593	-1.668971	8.412892	2.979176
-3.141593	-1.619884	8.314993	2.881277
-3.141593	-1.570796	8.216858	2.783142
-3.141593	-1.521709	8.118723	2.685007
-3.141593	-1.472622	8.020824	2.587108
-3.141593	-1.423534	7.923397	2.489681
-3.141593	-1.374447	7.826677	2.392961
-3.141593	-1.325359	7.730898	2.297182
-3.141593	-1.276272	7.636289	2.202573
-3.141593	-1.227185	7.543078	2.109362
-3.141593	-1.178097	7.451491	2.017775
-3.141593	-1.129010	7.361748	1.928032
-3.141593	-1.079922	7.274064	1.840349
-3.141593	-1.030835	7.188652	1.754937
-3.141593	-0.981748	7.105717	1.672002
-3.141593	-0.932660	7.025459	1.591743
-3.141593	-0.883573	6.948071	1.514356
-3.141593	-0.834486	6.873740	1.440024
-3.141593	-0.785398	6.802644	1.368929
-3.141593	-0.736311	6.734956	1.301240
-3.141593	-0.687223	6.670837	1.237121
-3.141593	-0.638136	6.610443	1.176727
-3.141593	-0.589049	6.553919	1.120203
-3.141593	-0.539961	6.501401	1.067685
-3.141593	-0.490874	6.453015	1.019300
-3.141593	-0.441786	6.408879	0.975164
-3.141593	-0.392699	6.369099	0.935383
-3.141593	-0.343612	6.333770	0.900054
-3.141593	-0.294524	6.302977	0.869261
-3.141593	-0.245437	6.276795	0.843080
-3.141593	-0.196350	6.255287	0.821572
-3.141593	-0.147262	6.238505	0.804789
-3.141593	-0.098175	6.226488	0.792773
-3.141593	-0.049087	6.219267	0.785551
-3.141593	0.000000	6.216858	0.783142
-3.141593	0.049087	6.219267	0.785551
-3.141593	0.098175	6.226488	0.792773
-3.141593	0.147262	6.238505	0.804789
-3.141593	0.196350	6.255287	0.821572
-3.141593	0.245437	6.276795	0.843080
-3.141593	0.294524	6.302977	0.869261
-3.141593	0.343612	6.333770	0.900054
-3.141593	0.392699	6.369099	0.935383
-3.141593	0.441786	6.408879	0.975164
-3.141593	0.490874	6.453015	1.019300
-3.141593	0.539961	6.501401	1.067685
-3.141593	0.589049	6.553919	1.120203
-3.141593	0.638136	6.610443	1.176727
-3.141593	0.687223	6.670837	1.237121
-3.141593	0.736311	6.734956	1.301240
-3.141593	0.785398	6.802644	1.368929
-3.141593	0.834486	6.873740	1.440024
-3.141593	0.883573	6.948071	1.514356
-3.141593	0.932660	7.025459	1.591743
-3.141593	0.981748	7.105717	1.672002
-3.141593	1.030835	7.188652	1.754937
-3.141593	1.079922	7.274064	1.840349
-3.141593	1.129010	7.361748	1.928032
-3.141593	1.178097	7.451491	2.017775
-3.141593	1.227185	7.543078	2.109362
-3.141593	1.276272	7.636289	2.202573
-3.141593	1.325359	7.730898	2.297182
-3.141593	1.374447	7.826677	2.392961
-3.141593	1.423534	7.923397	2.489681
-3.141593	1.472622	8.020824	2.587108
-3.141593	1.521709	8.118723	2.685007
-3.141593	1.570796	8.216858	2.783142
-3.141593	1.619884	8.314993	2.881277
-3.141593	1.668971	8.412892	2.979176
-3.141593	1.718058	8.510319	3.076603
-3.141593	1.767146	8.607039	3.173323
-3.141593	1.816233	8.702818	3.269102
-3.141593	1.865321	8.797427	3.363711
-3.141593	1.914408	8.890638	3.456922
-3.141593	1.963495	8.982225	3.548509
-3.141593	2.012583	9.071968	3.638252
-3.141593	2.061670	9.159651	3.725936
-3.141593	2.110758	9.245063	3.811348
-3.141593	2.159845	9.327998	3.894283
-3.141593	2.208932	9.408257	3.974541
-3.141593	2.258020	9.485644	4.051929
-3.141593	2.307107	9.559976	4.126260
-3.141593	2.356194	9.631071	4.197356
-3.141593	2.405282	9.698760	4.265044
-3.141593	2.454369	9.762879	4.329163
-3.141593	2.503457	9.823273	4.389557
-3.141593	2.552544	9.879797	4.446081
-3.141593	2.601631	9.932315	4.498599
