path	fm energy1	fm energy2	fm_ energy1	fm_ energy2	afm energy1	afm energy2
0	5.738129	-2.261871	6.784882	-1.215118	-2.001412	6.524423
1	5.737526	-2.261269	6.784279	-1.214516	-2.000847	6.523857
2	5.735720	-2.259462	6.782473	-1.212709	-1.999152	6.522162
3	5.732710	-2.256452	6.779463	-1.209699	-1.996328	6.519338
4	5.728498	-2.252241	6.775251	-1.205488	-1.992377	6.515387
5	5.723088	-2.246830	6.769841	-1.200077	-1.987302	6.510312
6	5.716482	-2.240224	6.763235	-1.193471	-1.981107	6.504117
7	5.708684	-2.232427	6.755437	-1.185674	-1.973796	6.496806
8	5.699699	-2.223442	6.746452	-1.176689	-1.965374	6.488384
9	5.689533	-2.213276	6.736286	-1.166523	-1.955847	6.478857
10	5.678191	-2.201934	6.724944	-1.155181	-1.945223	6.468233
11	5.665681	-2.189423	6.712434	-1.142671	-1.933508	6.456518
12	5.652009	-2.175752	6.698762	-1.128999	-1.920710	6.443721
13	5.637185	-2.160928	6.683938	-1.114175	-1.906841	6.429851
14	5.621217	-2.144959	6.667970	-1.098207	-1.891908	6.414918
15	5.604114	-2.127857	6.650867	-1.081104	-1.875923	6.398933
16	5.585888	-2.109630	6.632641	-1.062877	-1.858897	6.381907
17	5.566548	-2.090291	6.613301	-1.043538	-1.840843	6.363853
18	5.546107	-2.069850	6.592860	-1.023097	-1.821774	6.344784
19	5.524577	-2.048320	6.571330	-1.001567	-1.801703	6.324713
20	5.501971	-2.025714	6.548724	-0.978961	-1.780645	6.303655
21	5.478303	-2.002045	6.525056	-0.955292	-1.758615	6.281625
22	5.453586	-1.977329	6.500339	-0.930576	-1.735630	6.258640
23	5.427836	-1.951578	6.474589	-0.904826	-1.711706	6.234716
24	5.401068	-1.924811	6.447821	-0.878058	-1.686860	6.209870
25	5.373298	-1.897041	6.420051	-0.850288	-1.661112	6.184122
26	5.344544	-1.868286	6.391297	-0.821533	-1.634479	6.157490
27	5.314822	-1.838564	6.361574	-0.791811	-1.606983	6.129993
28	5.284150	-1.807892	6.330902	-0.761139	-1.578642	6.101652
29	5.252546	-1.776289	6.299299	-0.729536	-1.549479	6.072489
30	5.220031	-1.743774	6.266784	-0.697021	-1.519514	6.042525
31	5.186623	-1.710366	6.233376	-0.663613	-1.488772	6.011782
32	5.152342	-1.676085	6.199095	-0.629332	-1.457274	5.980284
33	5.117210	-1.640952	6.163963	-0.594199	-1.425045	5.948056
34	5.081247	-1.604989	6.128000	-0.558236	-1.392110	5.915120
35	5.044474	-1.568217	6.091227	-0.521464	-1.358493	5.881503
36	5.006915	-1.530658	6.053668	-0.483905	-1.324221	5.847231
37	4.968592	-1.492335	6.015345	-0.445582	-1.289320	5.812330
38	4.929527	-1.453270	5.976280	-0.406517	-1.253817	5.776827
39	4.889745	-1.413488	5.936498	-0.366735	-1.217741	5.740751
40	4.849269	-1.373012	5.896022	-0.326259	-1.181119	5.704129
41	4.808124	-1.331867	5.854877	-0.285114	-1.143981	5.666991
42	4.766334	-1.290077	5.813087	-0.243324	-1.106357	5.629367
43	4.723925	-1.247668	5.770678	-0.200915	-1.068276	5.591287
44	4.680922	-1.204665	5.727675	-0.157912	-1.029771	5.552781
45	4.637351	-1.161094	5.684104	-0.114341	-0.990872	5.513882
46	4.593239	-1.116982	5.639992	-0.070229	-0.951612	5.474622
47	4.548611	-1.072354	5.595364	-0.025601	-0.912023	5.435033
48	4.503496	-1.027238	5.550248	0.019515	-0.872138	5.395148
49	4.457919	-0.981661	5.504672	0.065092	-0.831992	5.355002
50	4.411908	-0.935651	5.458661	0.111102	-0.791618	5.314629
51	4.365492	-0.889235	5.412245	0.157518	-0.751053	5.274063
52	4.318698	-0.842441	5.365451	0.204312	-0.710330	5.233340
53	4.271554	-0.795297	5.318307	0.251456	-0.669486	5.192496
54	4.224089	-0.747832	5.270842	0.298921	-0.628558	5.151568
55	4.176331	-0.700074	5.223084	0.346679	-0.587582	5.110592
56	4.128309	-0.652052	5.175062	0.394701	-0.546595	5.069606
