u	m
2.100000	0.000000
2.200000	0.000000
2.300000	0.000000
2.400000	0.000002
2.500000	0.000008
2.600000	0.000030
2.700000	0.000106
2.800000	0.000360
2.900000	0.000602
3.000000	0.001899
3.100000	0.005206
3.200000	0.014704
3.300000	0.035476
3.400000	0.083412
3.500000	0.111519
3.600000	0.135034
3.700000	0.128723
3.800000	0.144837
3.900000	0.157043
