kx	ky	energy
-3.092505	-1.227185	2.344197
-3.092505	-1.178097	2.252610
-3.092505	-1.129010	2.162866
-3.092505	-1.079922	2.075183
-3.092505	-1.030835	1.989771
-3.092505	-0.981748	1.906836
-3.092505	-0.932660	1.826578
-3.092505	-0.883573	1.749190
-3.092505	-0.834486	1.674859
-3.092505	-0.785398	1.603763
-3.092505	-0.736311	1.536074
-3.092505	-0.687223	1.471956
-3.092505	-0.638136	1.411562
-3.092505	-0.589049	1.355037
-3.092505	-0.539961	1.302519
-3.092505	-0.490874	1.254134
-3.092505	-0.441786	1.209998
-3.092505	-0.392699	1.170218
-3.092505	-0.343612	1.134889
-3.092505	-0.294524	1.104096
-3.092505	-0.245437	1.077914
-3.092505	-0.196350	1.056406
-3.092505	-0.147262	1.039624
-3.092505	-0.098175	1.027607
-3.092505	-0.049087	1.020386
-3.092505	0.000000	1.017977
-3.092505	0.049087	1.020386
-3.092505	0.098175	1.027607
-3.092505	0.147262	1.039624
-3.092505	0.196350	1.056406
-3.092505	0.245437	1.077914
-3.092505	0.294524	1.104096
-3.092505	0.343612	1.134889
-3.092505	0.392699	1.170218
-3.092505	0.441786	1.209998
-3.092505	0.490874	1.254134
-3.092505	0.539961	1.302519
-3.092505	0.589049	1.355037
-3.092505	0.638136	1.411562
-3.092505	0.687223	1.471956
-3.092505	0.736311	1.536074
-3.092505	0.785398	1.603763
-3.092505	0.834486	1.674859
-3.092505	0.883573	1.749190
-3.092505	0.932660	1.826578
-3.092505	0.981748	1.906836
-3.092505	1.030835	1.989771
-3.092505	1.079922	2.075183
-3.092505	1.129010	2.162866
-3.092505	1.178097	2.252610
-3.092505	1.227185	2.344197
-3.092505	1.276272	2.437407
-3.092505	1.325359	2.532016
-3.092505	1.374447	2.627796
-3.092505	1.423534	2.724516
-3.092505	1.472622	2.821942
-3.092505	1.521709	2.919841
-3.092505	1.570796	3.017977
-3.092505	1.619884	3.116112
-3.092505	1.668971	3.214011
-3.092505	1.718058	3.311438
-3.092505	1.767146	3.408157
-3.092505	1.816233	3.503937
-3.092505	1.865321	3.598546
-3.092505	1.914408	3.691756
-3.092505	1.963495	3.783344
-3.092505	2.012583	3.873087
-3.092505	2.061670	3.960770
-3.092505	2.110758	4.046182
-3.092505	2.159845	4.129117
-3.092505	2.208932	4.209375
-3.092505	2.258020	4.286763
-3.092505	2.307107	4.361095
-3.092505	2.356194	4.432190
-3.092505	2.405282	4.499879
-3.092505	2.454369	4.563998
-3.092505	2.503457	4.624392
-3.092505	2.552544	4.680916
-3.092505	2.601631	4.733434
-3.092505	2.650719	4.781819
-3.092505	2.699806	4.825955
-3.092505	2.748894	4.865736
-3.092505	2.797981	4.901065
-3.092505	2.847068	4.931857
-3.092505	2.896156	4.958039
-3.092505	2.945243	4.979547
-3.092505	2.994330	4.996330
-3.092505	3.043418	5.008346
-3.092505	3.092505	5.015568
-3.043418	-3.141593	5.010755
-3.043418	-3.092505	5.008346
-3.043418	-3.043418	5.001125
-3.043418	-2.994330	4.989108
-3.043418	-2.945243	4.972326
-3.043418	-2.896156	4.950818
-3.043418	-2.847068	4.924636
-3.043418	-2.797981	4.893843
-3.043418	-2.748894	4.858514
-3.043418	-2.699806	4.818734
-3.043418	-2.650719	4.774598
-3.043418	-2.601631	4.726212
-3.043418	-2.552544	4.673694
-3.043418	-2.503457	4.617170
-3.043418	-2.454369	4.556776
-3.043418	-2.405282	4.492657
-3.043418	-2.356194	4.424969
-3.043418	-2.307107	4.353873
-3.043418	-2.258020	4.279542
-3.043418	-2.208932	4.202154
-3.043418	-2.159845	4.121896
-3.043418	-2.110758	4.038961
-3.043418	-2.061670	3.953549
-3.043418	-2.012583	3.865865
-3.043418	-1.963495	3.776122
-3.043418	-1.914408	3.684535
-3.043418	-1.865321	3.591325
-3.043418	-1.816233	3.496716
-3.043418	-1.767146	3.400936
-3.043418	-1.718058	3.304216
-3.043418	-1.668971	3.206789
-3.043418	-1.619884	3.108891
-3.043418	-1.570796	3.010755
-3.043418	-1.521709	2.912620
-3.043418	-1.472622	2.814721
-3.043418	-1.423534	2.717294
-3.043418	-1.374447	2.620575
